Player,SACKS,INTS,FR,FF,TDS,ASSIST,SAFETY,PA,YDS AGN,Points,POINTS,Value,ADP,STD DEV
Denver Broncos,39.6,15.3,12.1,20.6,4.0,0.0,0.9,299.9,4956.1,120.1,120.2,12.0666666667,1.0,1.4
Arizona Cardinals,40.1,15.0,12.1,19.5,3.8,0.0,0.5,321.1,4902.4,118.4,118.1,10.3666666667,6.0,4.1
Kansas City Chiefs,33.3,16.4,12.4,20.4,3.8,0.0,0.2,314.4,5564.8,114.4,114.1,6.36666666667,2.0,2.8
Minnesota Vikings,39.9,15.0,10.8,18.7,3.6,0.0,0.5,334.4,5525.9,114.4,114.1,6.36666666667,5.0,1.9
Houston Texans,39.1,15.2,10.6,16.7,3.8,0.0,0.3,305.6,4942.7,113.9,114.1,5.86666666667,4.0,1.9
Seattle Seahawks,39.8,14.5,11.1,17.7,3.5,0.0,0.9,289.9,4977.9,113.6,113.8,5.56666666667,3.0,1.9
Carolina Panthers,39.4,14.9,11.1,18.6,3.1,0.0,0.9,358.5,5502.3,111.7,111.8,3.66666666667,9.0,3.0
Philadelphia Eagles,34.6,15.0,11.6,20.1,3.6,0.0,0.9,346.0,5551.2,111.4,111.2,3.36666666667,13.0,3.2
New England Patriots,38.3,14.8,10.9,17.5,3.2,0.0,0.9,295.3,5220.4,110.9,110.7,2.86666666667,7.0,3.0
Tampa Bay Buccaneers,37.2,14.5,11.1,18.8,3.3,0.0,0.5,374.6,5801.0,109.0,109.2,0.966666666667,16.0,4.1
New York Giants,35.3,15.7,10.8,18.4,3.2,0.0,0.6,326.6,5435.6,108.7,108.7,0.666666666667,8.0,2.4
Jacksonville Jaguars,37.2,14.3,9.9,16.5,3.5,0.0,0.5,375.3,5344.1,107.9,107.6,-0.133333333333,14.0,3.8
Baltimore Ravens,35.4,15.1,11.0,17.5,3.3,0.0,0.2,319.3,5168.9,107.5,107.8,-0.533333333333,11.0,3.8
Los Angeles Chargers,35.9,14.3,11.3,18.4,3.2,0.0,0.6,385.1,5451.9,107.4,107.5,-0.633333333333,17.0,4.1
Pittsburgh Steelers,37.1,14.9,11.3,19.0,2.9,0.0,0.2,327.0,5429.2,107.1,107.3,-0.933333333333,10.0,4.4
Green Bay Packers,37.0,15.5,8.8,15.5,2.9,0.0,0.9,361.2,5702.1,104.9,104.8,-3.13333333333,18.0,3.6
Tennessee Titans,38.1,13.8,9.0,16.2,3.3,0.0,0.5,360.9,5473.7,104.4,104.5,-3.63333333333,20.0,4.4
Los Angeles Rams,36.6,13.7,11.1,17.9,2.7,0.0,0.5,355.0,5390.3,103.7,103.4,-4.33333333333,12.0,4.1
Miami Dolphins,33.9,14.8,9.8,16.1,3.1,0.0,0.9,376.3,5943.1,103.7,103.5,-4.33333333333,24.0,3.7
Oakland Raiders,31.7,14.7,11.5,19.9,2.9,0.0,0.5,376.2,5868.0,103.0,102.5,-5.03333333333,21.0,3.6
Cincinnati Bengals,35.6,15.7,9.2,14.4,2.7,0.0,0.2,327.6,5586.2,102.1,102.0,-5.93333333333,19.0,4.7
Buffalo Bills,36.5,14.3,8.8,15.3,3.1,0.0,0.2,383.1,5986.2,101.5,101.7,-6.53333333333,22.0,5.2
Dallas Cowboys,34.0,13.2,11.3,18.8,2.9,0.0,0.5,342.8,5521.4,101.3,101.4,-6.73333333333,23.0,3.9
Washington Redskins,35.3,12.9,11.0,18.7,2.8,0.0,0.5,379.5,5983.8,100.5,100.9,-7.53333333333,26.0,3.2
Atlanta Falcons,33.5,12.9,10.1,17.4,3.2,0.0,0.5,377.0,5872.9,99.7,99.7,-8.33333333333,15.0,4.8
Indianapolis Colts,33.1,13.6,9.5,18.1,3.2,0.0,0.2,378.6,5902.0,98.7,98.9,-9.33333333333,,5.0
San Francisco 49ers,32.1,13.0,9.5,17.6,2.7,0.0,0.2,414.2,6073.5,93.3,93.7,-14.7333333333,27.0,2.6
Detroit Lions,32.9,12.0,8.4,15.2,2.5,0.0,1.5,384.7,5941.7,91.5,91.7,-16.5333333333,,3.0
Chicago Bears,36.2,11.5,8.1,13.6,2.6,0.0,0.2,396.6,5735.6,91.3,91.4,-16.7333333333,,3.1
New Orleans Saints,31.1,11.4,10.8,18.7,2.4,0.0,0.2,432.2,6191.6,90.0,90.3,-18.0333333333,,2.9
New York Jets,32.1,11.1,9.0,16.3,2.7,0.0,0.2,388.7,5622.8,88.7,88.9,-19.3333333333,25.0,4.6
Cleveland Browns,32.1,12.6,7.8,14.1,2.3,0.0,0.2,403.9,6015.5,87.2,87.1,-20.8333333333,,3.5
