Player,RUSH ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV,ADP DIF
David Johnson,281.5,1180.4,11.8,75.2,747.5,4.1,3.1,281.99,171.233333333,1.0,0.4,0.0
Le'Veon Bell,293.1,1339.9,9.2,77.2,633.9,2.3,2.6,261.18,150.423333333,2.0,0.4,0.0
LeSean McCoy,240.7,1172.2,9.2,47.9,371.1,1.8,1.5,217.33,106.573333333,3.0,1.0,0.0
Devonta Freeman,215.9,950.3,8.5,55.1,475.5,2.6,1.9,205.38,94.6233333333,4.0,1.4,-1.0
Jordan Howard,269.8,1259.5,7.0,34.9,308.0,1.5,1.8,204.15,93.3933333333,8.0,1.7,1.0
Melvin Gordon,274.3,1092.1,8.1,46.7,402.9,1.9,2.9,203.7,92.9433333333,5.0,1.3,1.0
Jay Ajayi,268.4,1203.5,8.3,35.7,254.2,1.4,1.7,200.57,89.8133333333,7.0,1.9,1.0
DeMarco Murray,245.0,1056.6,7.2,44.7,323.9,2.1,1.9,190.05,79.2933333333,6.0,1.8,-2.0
Todd Gurley,275.0,1036.5,8.0,39.0,298.6,1.0,1.7,184.11,73.3533333333,10.0,2.3,1.0
Lamar Miller,263.2,1068.5,6.4,35.8,258.6,1.3,1.8,175.31,64.5533333333,14.0,3.5,1.0
Leonard Fournette,237.1,1027.1,7.0,30.8,235.2,1.3,1.9,172.23,61.4733333333,11.0,3.3,1.0
Ezekiel Elliott,201.2,974.3,7.4,25.4,241.0,1.0,1.5,168.93,58.1733333333,9.0,4.8,-3.0
Isaiah Crowell,217.1,944.9,6.2,37.0,293.1,0.7,1.8,161.6,50.8433333333,15.0,2.7,4.0
Marshawn Lynch,200.3,838.6,8.1,31.3,231.7,1.0,1.6,158.43,47.6733333333,12.0,4.4,-4.0
Dalvin Cook,197.4,828.2,6.5,38.3,303.0,1.6,1.8,158.12,47.3633333333,16.0,5.3,1.0
Ty Montgomery,164.3,770.8,5.2,44.3,357.9,1.7,1.3,151.67,40.9133333333,19.0,5.7,1.0
Christian McCaffrey,154.4,682.1,4.3,49.7,434.8,2.4,1.4,149.09,38.3333333333,13.0,5.3,-6.0
Carlos Hyde,220.7,934.4,6.1,27.6,190.3,1.2,3.8,148.67,37.9133333333,17.0,3.5,3.0
Mark Ingram,164.8,760.2,5.3,42.3,314.2,2.2,1.8,148.84,38.0833333333,20.0,4.0,-1.0
Kareem Hunt,188.2,778.6,6.1,35.0,283.1,1.2,1.4,147.17,36.4133333333,28.0,7.3,11.0
Joe Mixon,187.6,785.1,6.1,35.2,280.2,1.0,1.8,145.53,34.7733333333,18.0,5.7,-2.0
Bilal Powell,161.6,732.0,4.3,52.2,379.4,1.7,1.6,143.94,33.1833333333,25.0,5.0,1.0
Tevin Coleman,129.7,566.0,5.2,35.6,365.1,2.5,1.2,136.91,26.1533333333,23.0,4.7,-3.0
Ameer Abdullah,172.7,728.0,4.4,33.8,282.9,2.0,1.4,136.69,25.9333333333,22.0,4.8,-1.0
Frank Gore,203.3,777.0,4.7,30.0,228.4,1.5,2.0,133.74,22.9833333333,32.0,5.0,5.0
C.J. Anderson,177.0,753.7,4.9,28.1,218.6,1.0,1.4,129.83,19.0733333333,21.0,4.9,-1.0
Terrance West,182.1,723.5,5.0,31.7,223.4,1.0,1.5,127.69,16.9333333333,36.0,7.3,4.0
Paul Perkins,192.6,780.7,3.8,25.2,213.7,1.0,1.3,125.64,14.8833333333,31.0,6.4,1.0
Mike Gillislee,151.6,708.4,7.1,13.5,103.9,0.5,1.2,124.43,13.6733333333,24.0,5.0,-1.0
Robert Kelley,183.9,761.9,5.6,16.1,121.3,0.5,1.3,122.32,11.5633333333,34.0,6.8,1.0
Eddie Lacy,164.7,715.2,4.9,19.8,157.7,0.9,1.1,119.89,9.13333333333,35.0,8.7,-2.0
Doug Martin,180.7,714.0,4.7,20.4,162.1,0.8,2.7,115.21,4.45333333333,26.0,6.6,-2.0
Jonathan Stewart,177.4,724.9,5.5,11.5,87.2,0.4,2.3,112.01,1.25333333333,38.0,5.9,3.0
Danny Woodhead,82.1,344.5,2.2,59.7,477.5,2.9,1.0,110.8,0.0433333333333,33.0,7.0,2.0
Theo Riddick,78.8,301.0,2.0,61.6,489.6,3.4,1.0,109.46,-1.29666666667,40.0,5.5,2.0
Adrian Peterson,154.3,638.6,5.6,21.7,145.0,0.4,3.0,108.36,-2.39666666667,27.0,5.8,-2.0
Matt Forte,145.7,588.1,3.7,28.0,225.8,1.1,1.4,107.39,-3.36666666667,45.0,7.2,6.0
Duke Johnson,85.9,365.6,1.9,56.9,494.9,1.8,1.2,105.85,-4.90666666667,43.0,5.9,1.0
Derrick Henry,141.5,613.3,4.4,16.1,148.9,0.8,1.1,105.22,-5.53666666667,30.0,6.4,-6.0
LeGarrette Blount,160.7,653.4,5.8,7.9,51.5,0.2,1.4,103.69,-7.06666666667,29.0,6.2,-5.0
Darren Sproles,84.3,373.3,2.2,48.3,377.1,1.8,1.1,96.84,-13.9166666667,51.0,9.0,7.0
Darren McFadden,129.2,544.9,4.2,20.7,161.0,0.3,1.9,93.79,-16.9666666667,37.0,14.0,-3.0
James White,57.4,236.9,1.8,48.3,416.4,3.3,1.2,93.53,-17.2266666667,46.0,7.8,0.0
