Player,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV,ADP DIF
Rob Gronkowski,71.2,1043.6,9.7,0.2,162.16,67.5933333333,1.0,1.4,0.0
Travis Kelce,81.8,1039.1,5.5,0.9,135.11,40.5433333333,2.0,0.6,0.0
Greg Olsen,77.7,1005.7,5.5,0.7,132.17,37.6033333333,3.0,1.1,0.0
Jordan Reed,76.7,836.6,6.6,1.7,119.86,25.2933333333,4.0,1.5,0.0
Jimmy Graham,63.6,816.1,6.7,1.0,119.81,25.2433333333,5.0,1.4,0.0
Kyle Rudolph,74.9,753.9,6.0,0.7,109.99,15.4233333333,7.0,1.7,0.0
Tyler Eifert,57.2,713.2,6.5,0.2,109.92,15.3533333333,6.0,1.7,0.0
Delanie Walker,61.7,738.9,5.5,0.2,106.49,11.9233333333,9.0,2.0,1.0
Zach Ertz,74.0,784.3,4.7,0.7,105.23,10.6633333333,10.0,2.0,1.0
Martellus Bennett,60.6,668.7,6.2,0.2,103.67,9.10333333333,8.0,2.0,-2.0
Hunter Henry,50.4,629.0,6.3,0.7,99.3,4.73333333333,11.0,2.2,0.0
Eric Ebron,63.8,720.7,4.1,0.6,95.47,0.903333333333,13.0,2.4,1.0
Coby Fleener,51.2,617.3,4.6,0.2,88.93,-5.63666666667,16.0,3.1,2.0
Jack Doyle,59.0,590.4,5.2,0.7,88.84,-5.72666666667,12.0,3.5,-1.0
Austin Hooper,43.7,534.7,5.1,0.1,83.87,-10.6966666667,18.0,3.1,3.0
Jason Witten,63.9,627.0,3.7,1.4,82.1,-12.4666666667,15.0,3.2,-1.0
Cameron Brate,45.9,527.6,4.5,0.2,79.36,-15.2066666667,21.0,4.0,4.0
Charles Clay,52.4,549.0,4.0,0.2,78.5,-16.0666666667,29.0,3.7,2.0
Jared Cook,47.6,549.6,4.0,1.0,76.96,-17.6066666667,17.0,4.3,-5.0
Julius Thomas,45.3,471.9,5.0,0.2,76.79,-17.7766666667,20.0,9.2,2.0
C.J. Fiedorowicz,51.8,538.1,3.8,0.5,75.61,-18.9566666667,27.0,4.3,8.0
Antonio Gates,42.9,464.3,4.6,0.8,72.43,-22.1366666667,19.0,3.1,-1.0
Zach Miller,43.6,468.0,3.6,0.2,68.0,-26.5666666667,32.0,5.5,8.0
