Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
Julio Jones,0.0,0.2,0.0,99.6,1520.3,9.2,0.7,205.85,90.0066666667,2.0,1.0
Antonio Brown,3.1,16.6,0.0,111.1,1422.4,10.5,0.9,205.1,89.2566666667,1.0,0.3
Odell Beckham Jr.,0.6,4.5,0.0,97.5,1333.6,9.8,1.0,190.61,74.7666666667,3.0,1.0
Mike Evans,0.0,0.0,0.0,89.8,1284.0,9.4,0.7,183.4,67.5566666667,4.0,1.2
Jordy Nelson,0.0,0.0,0.0,90.1,1215.3,10.7,1.2,183.33,67.4866666667,6.0,1.3
A.J. Green,0.0,0.0,0.0,90.1,1273.0,7.9,0.8,173.1,57.2566666667,5.0,1.5
Michael Thomas,0.0,0.0,0.0,94.5,1193.2,8.5,0.7,168.92,53.0766666667,7.0,1.2
T.Y. Hilton,0.0,0.0,0.0,82.1,1238.6,6.7,0.7,162.66,46.8166666667,10.0,2.6
Dez Bryant,0.0,0.0,0.0,72.7,1072.6,9.0,1.3,158.66,42.8166666667,8.0,1.9
Doug Baldwin,2.3,12.2,0.1,86.7,1081.8,8.1,0.6,157.4,41.5566666667,12.0,2.7
Amari Cooper,1.8,8.8,0.0,83.6,1157.4,6.8,0.7,156.02,40.1766666667,9.0,2.7
Brandin Cooks,4.9,23.9,0.1,79.9,1097.3,7.2,0.7,154.52,38.6766666667,11.0,3.9
DeAndre Hopkins,0.0,0.0,0.0,83.4,1100.5,6.1,0.7,145.25,29.4066666667,13.0,2.7
Allen Robinson,0.0,0.0,0.0,76.5,1024.7,7.3,0.7,144.87,29.0266666667,20.0,4.7
Demaryius Thomas,0.0,0.3,0.0,86.7,1094.1,6.4,1.9,144.04,28.1966666667,15.0,3.1
Alshon Jeffery,0.5,2.8,0.0,75.3,1039.8,6.1,0.7,139.46,23.6166666667,16.0,3.9
Michael Crabtree,0.0,0.0,0.0,83.7,971.5,7.3,0.7,139.55,23.7066666667,21.0,3.5
Terrelle Pryor,2.2,12.6,0.0,70.0,1000.4,5.6,0.4,134.1,18.2566666667,14.0,4.2
Davante Adams,0.3,2.1,0.0,70.8,906.0,7.4,1.0,133.21,17.3666666667,17.0,4.8
Golden Tate,6.6,28.8,0.1,88.9,1002.3,5.3,1.3,132.91,17.0666666667,26.0,5.4
Kelvin Benjamin,0.0,-0.1,0.0,67.2,948.9,6.7,1.2,132.68,16.8366666667,23.0,5.7
Emmanuel Sanders,0.8,3.2,0.0,75.0,1004.7,5.5,0.9,131.99,16.1466666667,29.0,4.8
Larry Fitzgerald,0.1,0.3,0.0,92.9,984.8,6.0,1.3,131.91,16.0666666667,27.0,5.3
Tyreek Hill,26.0,174.1,1.5,72.0,766.3,5.2,1.3,131.64,15.7966666667,19.0,6.2
Sammy Watkins,0.1,-0.1,0.0,65.8,967.1,5.5,0.7,128.3,12.4566666667,25.0,6.4
Jarvis Landry,4.0,18.4,0.0,87.9,999.6,4.8,1.6,127.4,11.5566666667,22.0,5.7
Keenan Allen,0.1,0.9,0.0,82.3,955.6,5.9,2.1,126.85,11.0066666667,18.0,4.9
