Player,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,Points
Chicago Bears,11.0,8.0,11.0,40.0,4.0,0.0,394.0,5281.0,134.0
Cincinnati Bengals,15.0,9.0,12.0,34.0,4.0,0.0,296.0,5207.0,170.0
Buffalo Bills,15.0,10.0,14.0,36.0,4.0,0.0,386.0,5936.0,142.0
Denver Broncos,16.0,16.0,23.0,39.0,5.0,0.0,292.0,4569.0,229.0
Cleveland Browns,15.0,8.0,11.0,32.0,3.0,0.0,377.0,5666.0,128.0
Arizona Cardinals,15.0,15.0,21.0,44.0,5.0,0.0,316.0,4642.0,230.0
Los Angeles Chargers,16.0,14.0,19.0,37.0,5.0,0.0,419.0,5190.0,159.0
Indianapolis Colts,15.0,13.0,19.0,33.0,4.0,0.0,371.0,5544.0,145.0
Dallas Cowboys,12.0,14.0,19.0,33.0,4.0,0.0,325.0,5276.0,173.0
Miami Dolphins,17.0,11.0,15.0,30.0,5.0,0.0,377.0,5929.0,148.0
Philadelphia Eagles,16.0,16.0,22.0,34.0,5.0,0.0,352.0,5522.0,160.0
Atlanta Falcons,14.0,12.0,17.0,29.0,4.0,0.0,370.0,5752.0,137.0
Jacksonville Jaguars,15.0,11.0,15.0,38.0,4.0,0.0,391.0,4716.0,178.0
Detroit Lions,11.0,10.0,14.0,32.0,4.0,1.0,373.0,5837.0,132.0
Carolina Panthers,14.0,14.0,20.0,41.0,4.0,1.0,361.0,5293.0,155.0
Oakland Raiders,17.0,16.0,22.0,27.0,5.0,0.0,359.0,5543.0,155.0
Los Angeles Rams,14.0,12.0,17.0,39.0,2.0,0.0,359.0,5114.0,135.0
Baltimore Ravens,15.0,13.0,18.0,37.0,5.0,0.0,281.0,4677.0,219.0
Washington Redskins,13.0,13.0,18.0,34.0,4.0,0.0,375.0,5596.0,142.0
Seattle Seahawks,14.0,12.0,16.0,40.0,4.0,0.0,274.0,4672.0,212.0
Pittsburgh Steelers,14.0,15.0,21.0,38.0,4.0,0.0,298.0,5097.0,184.0
Houston Texans,17.0,11.0,16.0,36.0,5.0,0.0,305.0,4763.0,218.0
Tennessee Titans,17.0,10.0,14.0,39.0,5.0,0.0,342.0,5070.0,155.0
Minnesota Vikings,17.0,15.0,21.0,41.0,6.0,1.0,316.0,5212.0,207.0
