Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att.1,Yd.1,Avg,TD.1,FL,Points
Aaron Rodgers,662.0,439.0,4595.0,35.0,9.0,66.3,6.9,65.0,432.0,6.6,3.5,3.9,417.2
Tom Brady,616.0,397.0,4720.0,33.0,8.0,64.4,7.7,44.0,97.0,2.2,1.0,2.8,366.4
Matt Ryan,548.0,384.0,4987.0,32.0,10.0,70.1,9.1,35.0,103.0,2.9,0.6,2.9,364.8
Drew Brees,688.0,485.0,5130.0,31.0,16.0,70.5,7.5,24.0,34.0,1.4,1.6,3.8,353.0
Cam Newton,556.0,312.0,4097.0,26.0,17.0,56.1,7.4,90.0,404.0,4.5,5.5,4.2,337.6
Russell Wilson,570.0,370.0,4250.0,27.0,16.0,64.9,7.5,80.0,352.0,4.4,1.0,2.8,319.4
Jameis Winston,612.0,386.0,4566.0,27.0,18.0,63.1,7.5,48.0,164.0,3.4,2.5,3.9,317.2
Ben Roethlisberger,589.0,387.0,4407.0,29.0,17.0,65.7,7.5,22.0,37.0,1.7,0.7,2.2,309.8
Kirk Cousins,611.0,397.0,4677.0,24.0,16.0,65.0,7.7,33.0,84.0,2.5,4.1,4.4,309.8
Marcus Mariota,533.0,330.0,3827.0,27.0,14.0,61.9,7.2,57.0,346.0,6.1,1.8,3.6,309.6
Philip Rivers,599.0,360.0,4427.0,30.0,17.0,60.1,7.4,15.0,34.0,2.3,0.2,5.5,307.2
Andrew Luck,581.0,357.0,4075.0,26.0,19.0,61.4,7.0,68.0,351.0,5.2,1.7,3.1,305.0
Dak Prescott,499.0,324.0,3710.0,24.0,8.0,64.9,7.4,56.0,267.0,4.8,3.9,4.0,303.4
Derek Carr,617.0,376.0,4004.0,28.0,12.0,60.9,6.5,39.0,91.0,2.3,0.4,3.8,295.8
Matthew Stafford,586.0,383.0,4019.0,23.0,12.0,65.4,6.9,39.0,197.0,5.1,2.1,2.8,287.0
Tyrod Taylor,467.0,277.0,3036.0,21.0,11.0,59.3,6.5,103.0,590.0,5.7,3.9,3.1,284.2
Carson Palmer,636.0,379.0,4343.0,27.0,18.0,59.6,6.8,17.0,35.0,2.1,0.3,4.4,284.0
Andy Dalton,550.0,357.0,3950.0,21.0,9.0,64.9,7.2,52.0,177.0,3.4,3.3,3.7,279.4
Joe Flacco,688.0,443.0,4194.0,22.0,19.0,64.4,6.1,22.0,52.0,2.4,2.6,3.0,265.6
Eli Manning,615.0,390.0,4128.0,24.0,16.0,63.4,6.7,21.0,30.0,1.4,0.2,4.4,263.4
Blake Bortles,559.0,322.0,3349.0,21.0,17.0,57.6,6.0,62.0,370.0,6.0,3.8,4.2,263.4
Sam Bradford,558.0,398.0,3759.0,22.0,10.0,71.3,6.7,23.0,56.0,2.4,0.2,4.0,250.2
