Player,Att,Yd,Avg,TD,Recpt,Yd.1,Avg.1,TD.1,FL,Points
David Johnson,270.0,1058.0,3.9,11.1,72.0,769.0,10.7,3.5,3.1,248.4
Le'Veon Bell,310.0,1335.0,4.3,9.1,83.0,648.0,7.8,1.9,2.2,244.6
LeSean McCoy,243.0,1250.0,5.1,9.1,52.0,365.0,7.0,1.5,1.0,206.6
Devonta Freeman,225.0,995.0,4.4,8.5,59.0,564.0,9.6,2.4,1.8,202.8
Jordan Howard,262.0,1281.0,4.9,6.7,33.0,332.0,10.1,1.2,1.6,190.2
Melvin Gordon,272.0,1067.0,3.9,8.7,45.0,434.0,9.6,1.7,3.8,188.8
DeMarco Murray,247.0,1017.0,4.1,5.7,52.0,372.0,7.2,2.5,1.8,169.6
Jay Ajayi,259.0,1145.0,4.4,7.7,32.0,199.0,6.2,0.8,1.3,167.4
Christian McCaffrey,193.0,863.0,4.5,6.7,47.0,437.0,9.3,1.9,1.7,162.2
Ezekiel Elliott,217.0,1077.0,5.0,7.0,21.0,232.0,11.0,0.6,0.9,158.8
Todd Gurley,267.0,922.0,3.5,7.7,39.0,306.0,7.8,0.5,1.4,153.4
Tevin Coleman,152.0,647.0,4.3,6.5,33.0,431.0,13.1,4.0,1.3,151.4
Isaiah Crowell,226.0,973.0,4.3,6.0,39.0,303.0,7.8,0.6,1.6,146.4
Leonard Fournette,223.0,963.0,4.3,6.5,31.0,227.0,7.3,1.0,1.8,145.4
Mark Ingram,190.0,829.0,4.4,5.2,52.0,367.0,7.1,2.7,2.5,145.4
Dalvin Cook,200.0,800.0,4.0,7.4,45.0,305.0,6.8,1.2,1.6,144.4
Lamar Miller,254.0,971.0,3.8,5.8,38.0,236.0,6.2,1.4,1.6,144.0
Joe Mixon,194.0,787.0,4.1,6.8,38.0,299.0,7.9,1.1,1.5,136.4
Marshawn Lynch,181.0,743.0,4.1,8.4,31.0,183.0,5.9,0.8,1.3,129.6
Ty Montgomery,147.0,749.0,5.1,5.0,51.0,377.0,7.4,0.9,1.5,128.4
Carlos Hyde,211.0,944.0,4.5,5.6,24.0,139.0,5.8,2.1,5.6,128.0
Kareem Hunt,184.0,768.0,4.2,6.3,32.0,238.0,7.4,1.0,1.7,124.4
Mike Gillislee,167.0,750.0,4.5,8.3,12.0,91.0,7.6,1.1,1.4,123.6
Bilal Powell,156.0,663.0,4.2,3.1,60.0,416.0,6.9,2.0,1.2,121.2
Ameer Abdullah,191.0,706.0,3.7,4.7,31.0,269.0,8.7,2.4,1.9,119.8
C.J. Anderson,175.0,673.0,3.8,5.4,32.0,247.0,7.7,1.1,1.8,112.4
Terrance West,182.0,746.0,4.1,4.7,28.0,186.0,6.6,0.8,1.0,108.0
Paul Perkins,192.0,725.0,3.8,2.8,27.0,294.0,10.9,0.9,1.5,105.2
Thomas Rawls,158.0,644.0,4.1,5.9,19.0,138.0,7.3,0.8,0.9,101.4
Danny Woodhead,85.0,372.0,4.4,2.1,62.0,473.0,7.6,3.5,1.0,100.6
Frank Gore,183.0,681.0,3.7,3.2,27.0,197.0,7.3,2.1,2.0,99.8
LeGarrette Blount,183.0,688.0,3.8,5.4,17.0,98.0,5.8,0.6,1.8,98.4
Jonathan Stewart,176.0,729.0,4.1,5.2,13.0,108.0,8.3,0.7,3.5,97.4
Jamaal Williams,142.0,677.0,4.8,4.6,19.0,144.0,7.6,0.8,1.6,96.2
Doug Martin,178.0,675.0,3.8,4.6,22.0,187.0,8.5,0.5,3.4,94.8
James White,60.0,226.0,3.8,1.9,52.0,480.0,9.2,4.7,1.4,92.8
Derrick Henry,135.0,556.0,4.1,4.8,19.0,195.0,10.3,0.9,1.2,90.8
Spencer Ware,139.0,577.0,4.2,3.3,22.0,266.0,12.1,1.4,2.8,90.6
Theo Riddick,94.0,342.0,3.6,2.3,50.0,377.0,7.5,3.2,0.9,88.2
Darren Sproles,91.0,393.0,4.3,2.1,54.0,407.0,7.5,2.2,1.2,87.4
Jeremy Hill,150.0,546.0,3.6,5.4,18.0,134.0,7.4,0.6,1.3,86.4
Eddie Lacy,146.0,646.0,4.4,3.2,17.0,148.0,8.7,0.8,1.1,85.8
Matt Forte,132.0,519.0,3.9,3.1,30.0,261.0,8.7,1.4,1.7,85.6
Samaje Perine,111.0,467.0,4.2,4.2,27.0,230.0,8.5,0.8,1.8,80.4
C.J. Prosise,68.0,373.0,5.5,2.4,37.0,400.0,10.8,0.8,1.0,80.2
Duke Johnson,72.0,305.0,4.2,1.5,62.0,552.0,8.9,0.6,1.4,79.8
Jamaal Charles,109.0,421.0,3.9,4.1,34.0,286.0,8.4,1.6,4.8,78.6
Charles Sims,85.0,320.0,3.8,1.4,46.0,424.0,9.2,2.5,2.6,77.2
Tarik Cohen,89.0,445.0,5.0,3.0,31.0,258.0,8.3,0.9,1.9,73.6
Darren McFadden,137.0,579.0,4.2,1.9,26.0,213.0,8.2,0.6,2.8,73.4
Latavius Murray,133.0,458.0,3.4,4.9,25.0,164.0,6.6,0.4,2.4,73.0
Alvin Kamara,81.0,343.0,4.2,3.3,36.0,277.0,7.7,1.2,1.5,71.0
Dion Lewis,119.0,535.0,4.5,2.9,22.0,174.0,7.9,1.0,3.7,71.0
Jonathan Williams,107.0,518.0,4.8,4.3,16.0,110.0,6.9,0.7,4.7,68.6
Joe Williams,110.0,486.0,4.4,3.5,19.0,143.0,7.5,0.6,1.9,67.8
Chris Thompson,64.0,269.0,4.2,2.0,49.0,357.0,7.3,2.0,1.5,67.0
Robert Turbin,80.0,271.0,3.4,5.4,28.0,176.0,6.3,0.9,1.1,64.6
Marlon Mack,84.0,330.0,3.9,3.0,27.0,222.0,8.2,1.0,1.3,60.4
Damien Williams,64.0,237.0,3.7,1.8,24.0,247.0,10.3,3.4,1.7,59.8
Aaron Ripkowski,51.0,267.0,5.2,5.5,15.0,101.0,6.7,0.9,1.7,57.0
DeAndre Washington,103.0,476.0,4.6,2.4,10.0,72.0,7.2,0.4,2.1,54.6
Tim Hightower,105.0,440.0,4.2,2.4,11.0,100.0,9.1,0.4,1.6,53.6
Devontae Booker,96.0,349.0,3.6,2.5,26.0,222.0,8.5,0.8,3.8,53.2
Giovani Bernard,84.0,325.0,3.9,1.8,29.0,244.0,8.4,0.5,1.9,52.0
Alfred Morris,87.0,378.0,4.3,2.2,11.0,81.0,7.4,0.5,0.6,49.0
D'Onta Foreman,98.0,393.0,4.0,2.2,13.0,87.0,6.7,0.4,1.3,48.0
Jacquizz Rodgers,94.0,401.0,4.3,1.6,13.0,103.0,7.9,0.5,1.3,47.0
James Conner,76.0,318.0,4.2,2.8,14.0,111.0,7.9,0.5,0.9,45.0
Javorius Allen,79.0,311.0,3.9,1.6,23.0,161.0,7.0,0.8,1.5,43.4
Orleans Darkwa,71.0,250.0,3.5,3.2,20.0,127.0,6.3,0.7,1.5,42.4
Shane Vereen,53.0,229.0,4.3,1.5,34.0,271.0,8.0,1.2,3.5,42.2
Rex Burkhead,80.0,302.0,3.8,2.5,12.0,106.0,8.8,0.5,1.6,39.8
Jalen Richard,55.0,294.0,5.3,1.6,13.0,82.0,6.3,0.8,1.3,36.8
T.J. Yeldon,75.0,283.0,3.8,1.2,28.0,175.0,6.2,0.5,1.5,36.2
John Kuhn,19.0,40.0,2.1,4.2,19.0,96.0,5.1,0.8,0.0,35.0
Chris Carson,43.0,186.0,4.3,1.5,23.0,191.0,8.3,0.8,1.1,33.6
Branden Oliver,68.0,242.0,3.6,1.6,15.0,144.0,9.6,0.6,1.9,33.4
Wendell Smallwood,79.0,319.0,4.0,1.7,8.0,50.0,6.2,0.3,2.4,32.2
Elijah McGuire,64.0,266.0,4.2,1.6,10.0,84.0,8.4,0.3,1.5,30.4
Kerwynn Williams,44.0,248.0,5.6,1.8,7.0,50.0,7.1,0.3,1.5,28.6
Charcandrick West,57.0,204.0,3.6,1.3,13.0,95.0,7.3,1.0,1.8,26.2
Mike Tolbert,46.0,205.0,4.5,0.5,11.0,76.0,6.9,1.3,0.3,25.2
Kyle Juszczyk,5.0,23.0,4.6,1.0,26.0,207.0,8.0,1.0,0.0,25.0
Wayne Gallman,62.0,228.0,3.7,1.4,9.0,70.0,7.8,0.3,1.8,24.6
Elijah Hood,49.0,210.0,4.3,1.8,6.0,45.0,7.5,0.2,1.5,24.0
Alfred Blue,54.0,226.0,4.2,0.7,13.0,75.0,5.8,0.5,1.7,21.8
Andy Janovich,6.0,54.0,9.0,1.9,9.0,76.0,8.4,0.1,0.0,17.0
Kenjon Barner,46.0,159.0,3.5,1.0,14.0,109.0,7.8,0.7,2.1,17.0
Kenyan Drake,32.0,118.0,3.7,1.2,12.0,84.0,7.0,0.5,1.3,16.6
Chris Ivory,52.0,200.0,3.8,1.6,9.0,79.0,8.8,0.2,4.8,16.2
Lance Dunbar,23.0,69.0,3.0,0.5,20.0,168.0,8.4,0.4,0.8,15.8
Cameron Artis-Payne,34.0,138.0,4.1,1.3,1.0,16.0,16.0,0.0,0.2,14.4
C.J. Spiller,18.0,68.0,3.8,0.5,11.0,76.0,6.9,1.0,0.6,13.8
Jerick McKinnon,35.0,127.0,3.6,0.5,10.0,57.0,5.7,0.5,1.3,10.4
Jamize Olawale,6.0,23.0,3.8,0.6,4.0,62.0,15.5,0.3,0.0,8.4
Jeremy McNichols,19.0,71.0,3.7,0.5,6.0,46.0,7.7,0.2,0.3,7.6
Jeremy Langford,16.0,75.0,4.7,0.6,4.0,35.0,8.8,0.0,0.3,7.0
Shaun Draughn,12.0,28.0,2.3,0.4,6.0,53.0,8.8,0.3,0.2,6.8
Malcolm Brown,19.0,57.0,3.0,0.4,7.0,52.0,7.4,0.3,0.8,6.6
Corey Grant,12.0,57.0,4.8,0.4,1.0,11.0,11.0,0.3,0.2,5.8
Matt Asiata,13.0,45.0,3.5,0.6,4.0,37.0,9.2,0.0,0.1,5.4
Dwayne Washington,19.0,68.0,3.6,0.4,2.0,13.0,6.5,0.0,0.1,5.2
Travaris Cadet,1.0,4.0,4.0,0.0,7.0,52.0,7.4,0.5,0.2,4.6
Brian Hill,10.0,35.0,3.5,0.3,2.0,18.0,9.0,0.1,0.1,4.2
T.J. Logan,10.0,34.0,3.4,0.3,2.0,16.0,8.0,0.1,0.1,4.2
Devante Mays,10.0,41.0,4.1,0.3,2.0,16.0,8.0,0.1,0.1,4.2
Aaron Jones,10.0,41.0,4.1,0.3,2.0,16.0,8.0,0.1,0.1,4.2
Peyton Barber,11.0,49.0,4.5,0.4,1.0,8.0,8.0,0.0,0.2,4.0
Andre Ellington,12.0,49.0,4.1,0.2,4.0,32.0,8.0,0.0,0.1,4.0
