Player,Recpt,Yd,Avg,TD,FL,Points
Adam Shaheen,36.0,354.0,9.8,2.2,0.6,40.0
Anthony Fasano,18.0,194.0,10.8,1.2,0.3,18.6
Antonio Gates,41.0,453.0,11.0,4.4,1.6,60.2
Austin Hooper,46.0,535.0,11.6,5.2,0.2,76.8
Austin Seferian-Jenkins,29.0,365.0,12.6,2.7,0.3,43.6
Ben Koyack,8.0,65.0,8.1,0.4,0.1,5.2
Benjamin Watson,32.0,293.0,9.2,1.6,1.1,28.4
Braedon Bowman,3.0,27.0,9.0,0.2,0.0,2.2
Brent Celek,7.0,84.0,12.0,0.3,0.1,5.6
Bucky Hodges,5.0,39.0,7.8,0.3,0.0,2.8
C.J. Fiedorowicz,47.0,472.0,10.0,3.7,0.5,60.2
C.J. Uzomah,11.0,101.0,9.2,0.6,0.1,7.4
Cameron Brate,45.0,524.0,11.6,4.8,0.3,72.2
Charles Clay,50.0,528.0,10.6,3.3,0.3,65.2
Clive Walford,32.0,357.0,11.2,2.8,0.3,44.2
Coby Fleener,55.0,646.0,11.7,2.9,0.3,78.6
Cole Wick,4.0,38.0,9.5,0.2,0.0,2.2
Connor Hamlett,4.0,42.0,10.5,0.7,0.0,5.2
Daniel Brown,11.0,89.0,8.1,0.5,0.1,6.8
Darren Fells,7.0,76.0,10.9,0.5,0.1,5.8
David Njoku,46.0,410.0,8.9,1.9,0.5,43.4
Delanie Walker,55.0,641.0,11.7,3.9,0.3,80.8
Demetrius Harris,28.0,270.0,9.6,1.6,0.4,26.8
Dion Sims,9.0,84.0,9.3,0.8,0.1,8.6
Dwayne Allen,11.0,126.0,11.5,1.8,0.1,15.6
Ed Dickson,26.0,302.0,11.6,1.9,0.3,31.8
Eric Ebron,72.0,799.0,11.1,3.7,0.2,95.8
Eric Saubert,4.0,51.0,12.8,0.4,0.0,4.4
Erik Swoope,28.0,326.0,11.6,2.0,0.3,36.4
Evan Engram,53.0,478.0,9.0,3.0,0.5,56.0
Garrett Celek,27.0,310.0,11.5,2.5,1.1,35.8
Gavin Escobar,28.0,270.0,9.6,2.0,2.5,25.0
Geoff Swaim,5.0,50.0,10.0,0.2,0.1,3.0
George Kittle,17.0,156.0,9.2,1.1,0.6,12.4
Gerald Everett,21.0,193.0,9.2,1.2,0.5,18.2
Greg Olsen,68.0,936.0,13.8,4.3,0.3,110.2
Hunter Henry,42.0,552.0,13.1,6.0,1.4,80.2
Ifeanyi Momah,4.0,54.0,13.5,0.2,0.1,3.0
