Player,Recpt,Yd,Avg,TD,FL,Points
Julio Jones,116.0,1825.0,15.7,9.1,0.4,228.8
Antonio Brown,116.0,1411.0,12.2,8.4,0.8,181.8
Jordy Nelson,96.0,1173.0,12.2,10.2,1.3,168.6
Michael Thomas,98.0,1230.0,12.6,8.1,0.3,162.0
Mike Evans,89.0,1255.0,14.1,7.5,0.3,161.4
Doug Baldwin,91.0,1094.0,12.0,9.4,0.2,157.0
A.J. Green,89.0,1147.0,12.9,6.3,0.5,143.8
Terrelle Pryor,76.0,1129.0,14.9,5.0,0.4,139.4
Dez Bryant,71.0,970.0,13.7,8.8,1.6,138.6
Davante Adams,79.0,964.0,12.2,8.3,1.0,136.8
Amari Cooper,84.0,1102.0,13.1,5.5,0.4,133.2
Brandin Cooks,72.0,1004.0,13.9,6.7,0.3,133.2
Kelvin Benjamin,64.0,960.0,15.0,7.1,1.4,128.8
Michael Crabtree,80.0,905.0,11.3,7.2,0.3,124.6
T.Y. Hilton,74.0,1048.0,14.2,4.6,0.3,124.0
Keenan Allen,84.0,1012.0,12.0,5.8,3.1,122.6
Allen Robinson,72.0,880.0,12.2,6.9,0.4,121.6
Demaryius Thomas,81.0,1024.0,12.6,5.1,2.8,120.0
Alshon Jeffery,88.0,1022.0,11.6,4.3,0.3,119.2
Stefon Diggs,98.0,1007.0,10.3,4.4,0.3,117.8
Willie Snead,78.0,999.0,12.8,4.5,0.8,117.4
Emmanuel Sanders,67.0,952.0,14.2,5.2,0.7,116.8
Martavis Bryant,61.0,786.0,12.9,5.7,0.9,116.6
Larry Fitzgerald,92.0,934.0,10.2,5.6,1.6,115.4
DeAndre Hopkins,78.0,909.0,11.7,5.4,0.3,113.8
Jarvis Landry,81.0,964.0,11.9,4.1,2.1,111.6
Jamison Crowder,73.0,905.0,12.4,5.4,1.5,111.4
Golden Tate,90.0,940.0,10.4,4.7,1.5,110.8
Randall Cobb,78.0,820.0,10.5,5.5,0.3,110.0
Brandon Marshall,74.0,906.0,12.2,4.9,0.8,109.8
Tyreek Hill,60.0,606.0,10.1,6.0,1.5,109.2
Mike Wallace,81.0,909.0,11.2,4.1,0.2,107.2
Chris Hogan,55.0,922.0,16.8,4.2,1.1,107.0
Pierre Garcon,78.0,906.0,11.6,4.2,0.4,106.4
Kenny Britt,71.0,880.0,12.4,4.5,1.3,105.4
Taylor Gabriel,49.0,771.0,15.7,4.9,0.4,103.4
DeVante Parker,62.0,892.0,14.4,3.7,0.3,102.6
Eric Decker,54.0,733.0,13.6,6.5,0.7,102.6
Kendall Wright,67.0,892.0,13.3,3.1,0.4,99.8
Jeremy Maclin,82.0,858.0,10.5,3.5,0.3,98.4
Corey Coleman,68.0,813.0,12.0,4.3,0.3,98.2
Sterling Shepard,65.0,689.0,10.6,5.6,0.4,95.8
Tyrell Williams,52.0,764.0,14.7,4.7,0.5,95.2
Rishard Matthews,53.0,732.0,13.8,5.4,1.5,94.4
Jordan Matthews,58.0,743.0,12.8,4.8,0.3,94.2
Cole Beasley,70.0,752.0,10.7,4.6,0.8,94.0
Mohamed Sanu,61.0,724.0,11.9,4.6,1.1,93.8
Allen Hurns,57.0,690.0,12.1,5.2,0.5,92.2
Tyler Lockett,52.0,743.0,14.3,3.1,0.4,92.0
John Brown,60.0,782.0,13.0,3.7,0.4,91.4
Sammy Watkins,58.0,754.0,13.0,3.9,0.3,90.8
Adam Thielen,66.0,747.0,11.3,4.1,1.2,89.2
Robby Anderson,57.0,802.0,14.1,2.9,1.6,89.2
DeSean Jackson,52.0,735.0,14.1,4.0,0.4,88.2
Kenny Golladay,60.0,717.0,11.9,4.1,0.4,86.8
Marvin Jones,53.0,758.0,14.3,3.2,0.2,86.8
Corey Davis,51.0,676.0,13.3,4.0,0.6,84.4
Devin Funchess,38.0,601.0,15.8,5.4,0.4,83.6
Breshad Perriman,46.0,667.0,14.5,4.1,0.2,83.2
Zay Jones,49.0,671.0,13.7,3.8,0.5,82.4
Torrey Smith,44.0,578.0,13.1,5.3,0.3,81.2
Kenny Stills,34.0,599.0,17.6,4.9,0.3,80.8
Marqise Lee,57.0,694.0,12.2,3.1,1.0,80.2
Terrance Williams,49.0,675.0,13.8,3.5,1.1,78.8
Brandon LaFell,51.0,631.0,12.4,3.9,0.3,77.8
Kevin White,55.0,661.0,12.0,2.5,0.6,73.8
Malcolm Mitchell,48.0,573.0,11.9,4.2,0.3,73.6
John Ross,50.0,622.0,12.4,3.2,0.6,71.6
Chris Godwin,45.0,612.0,13.6,3.1,0.6,70.4
Curtis Samuel,39.0,590.0,15.1,3.3,0.6,70.2
Josh Doctson,42.0,595.0,14.2,2.6,0.6,66.4
Adam Humphries,51.0,565.0,11.1,2.7,0.3,64.6
Jaron Brown,38.0,536.0,14.1,3.1,0.4,63.8
Seth Roberts,37.0,412.0,11.1,4.9,0.3,61.8
ArDarius Stewart,42.0,559.0,13.3,2.4,0.6,60.2
Albert Wilson,39.0,408.0,10.5,3.4,0.4,58.8
Laquon Treadwell,48.0,522.0,10.9,2.6,0.6,58.4
Marquise Goodwin,33.0,476.0,14.4,3.3,0.4,58.0
Tavon Austin,37.0,359.0,9.7,2.6,1.6,57.4
Justin Hunter,25.0,349.0,14.0,5.0,0.2,56.6
Brandon Coleman,38.0,474.0,12.5,3.0,0.3,56.4
Markus Wheaton,33.0,489.0,14.8,2.5,1.1,53.8
Kamar Aiken,33.0,468.0,14.2,2.6,0.4,53.8
Andre Holmes,28.0,370.0,13.2,3.9,0.3,52.8
