RNK,Player,TT,SCK,FF,FR,INT,ITD,FTD,Points
30,Chicago Bears,0,35.3,16.0,8.2,12.5,1.3,1.1,82.7
3,Cincinnati Bengals,0,38.4,17.4,8.8,14.0,1.5,1.1,106.4
31,Buffalo Bills,0,34.7,16.1,8.2,12.5,1.3,1.1,81.4
10,Denver Broncos,0,35.3,17.8,9.1,12.7,1.3,1.2,101.4
29,Cleveland Browns,0,33.3,17.0,8.7,12.9,1.4,1.1,83.0
6,Arizona Cardinals,0,36.2,17.9,9.1,13.7,1.4,1.1,104.7
7,Los Angeles Chargers,0,37.3,17.6,9.0,12.9,1.3,1.1,103.3
23,Indianapolis Colts,0,36.8,18.2,9.3,13.4,1.4,1.1,87.7
22,Dallas Cowboys,0,35.7,18.5,9.4,13.3,1.4,1.1,87.8
15,Miami Dolphins,0,37.8,17.6,9.0,12.6,1.3,1.1,91.1
20,Philadelphia Eagles,0,35.2,19.0,9.7,13.0,1.4,1.1,89.6
14,Atlanta Falcons,0,39.2,17.5,8.9,13.1,1.4,1.1,92.2
1,Jacksonville Jaguars,0,36.3,18.0,9.1,14.4,1.5,1.1,110.6
28,Detroit Lions,0,34.8,16.6,8.5,12.7,1.3,1.1,83.3
18,Carolina Panthers,0,38.3,16.9,8.6,13.8,1.5,1.1,90.2
27,Oakland Raiders,0,34.3,18.0,9.2,12.0,1.3,1.1,84.0
4,Los Angeles Rams,0,35.4,18.7,9.5,13.9,1.4,1.1,106.0
11,Baltimore Ravens,0,35.2,16.9,8.6,12.9,1.3,1.1,101.0
21,Washington Redskins,0,35.7,19.3,9.8,13.1,1.4,1.1,88.4
2,Seattle Seahawks,0,36.8,19.0,9.7,14.3,1.5,1.2,109.5
5,Pittsburgh Steelers,0,38.6,17.0,8.6,13.1,1.4,1.1,105.8
9,Houston Texans,0,36.4,17.0,8.6,13.1,1.3,1.1,101.7
13,Tennessee Titans,0,39.5,18.2,9.2,14.6,1.5,1.1,94.7
8,Minnesota Vikings,0,37.4,16.5,8.4,12.8,1.3,1.1,103.2
