RNK,Player,1-39,40-49,50+,TOT,XP,Points
4,Adam Vinatieri,16.8/16.9,7.8/9.2,0/0,27.8/30.8,42.3/42.7,136.8
26,Aldrick Rosas,14.2/15.2,6.5/8.3,0/0,23.4/27.7,34.1/36.2,111.7
32,Andrew Franks,11.7/13.4,5.3/7.3,0/0,19.1/24.3,35/39.7,96.6
8,Blair Walsh,17.2/18.8,7.8/10.3,0/0,28.2/34.2,37/40.2,129.7
24,Brandon McManus,15.4/16.5,7.1/9,0/0,25.4/29.9,30.8/32.6,115.1
19,Cairo Santos,16.5/17.6,7.5/9.6,0/0,27.1/32.1,33/35,122.9
14,Caleb Sturgis,16.9/18.6,7.7/10.1,0/0,27.6/33.8,33.6/36.7,124.2
29,Chandler Catanzaro,14.9/16.3,6.8/8.9,0/0,24.4/29.6,25.6/27.7,106.1
9,Chris Boswell,16.6/17.3,7.6/9.4,0/0,27.4/31.5,36.7/38,128.5
46,Cody Parkey,0/0,0/0,0/0,0/0,0/0,0.0
27,Connor Barth,14.7/15.8,6.7/8.6,0/0,24/28.7,31/33.2,110.6
6,Dan Bailey,15.9/16.4,7.3/8.9,0/0,26.2/29.8,42.4/43.4,130.7
11,Dustin Hopkins,17/18.9,7.7/10.3,0/0,27.8/34.3,34.9/38.3,125.8
10,Graham Gano,16.7/18.3,7.6/10,0/0,27.3/33.2,37/40.2,126.6
31,Greg Zuerlein,14/15.4,6.4/8.4,0/0,22.9/28,26.6/29,101.8
50,Harrison Butker,0/0,0/0,0/0,0/0,0/0,0.0
17,Jake Elliott,15.8/16.9,7.2/9.2,0/0,26/30.7,37.1/39.4,123.3
21,Jason Myers,16/16.8,7.3/9.2,0/0,26.4/30.6,34/35.6,122.1
48,Jordan Gay,0/0,0/0,0/0,0/0,0/0,0.0
20,Josh Lambo,16.2/17.8,7.3/9.7,0/0,26.5/32.3,36.2/39.6,122.9
2,Justin Tucker,19.8/20,9.4/10.9,0/0,33/36.4,32.3/32.6,145.1
18,Kai Forbath,16.7/17.9,7.6/9.8,0/0,27.3/32.6,32.6/34.8,123.1
7,Mason Crosby,16/17.1,7.3/9.3,0/0,26.2/31,43.2/45.8,130.1
3,Matt Bryant,16.7/17.2,7.7/9.4,0/0,27.6/31.3,46.6/47.7,139.7
5,Matt Prater,17/17.4,7.8/9.5,0/0,28.1/31.7,37.3/37.9,132.1
39,Nick Folk,0/0,0/0,0/0,0/0,0/0,0.0
16,Nick Novak,16.8/17.8,7.7/9.7,0/0,27.6/32.4,31.7/33.5,123.5
15,Phil Dawson,15.3/16,7/8.7,0/0,25.1/29.1,39.5/41.1,123.5
42,Randy Bullock,0/0,0/0,0/0,0/0,0/0,0.0
28,Robbie Gould,14.8/15.7,6.8/8.6,0/0,24.4/28.6,27.8/29.3,109.1
25,Roberto Aguayo,15.2/17.6,6.8/9.6,0/0,24.8/32,32.4/37.2,111.9
23,Ryan Succop,14.2/15.1,6.5/8.2,0/0,23.3/27.5,39.6/41.9,117.1
12,Sebastian Janikowski,16.4/17.7,7.5/9.6,0/0,26.9/32.1,36.6/39.2,125.5
1,Stephen Gostkowski,17.7/18.2,8.1/9.9,0/0,29.2/33,50/51,148.3
22,Steven Hauschka,15/15.9,6.9/8.7,0/0,24.7/28.9,37.3/39.3,119.7
13,Wil Lutz,14.2/15.3,6.5/8.3,0/0,23.4/27.8,46.8/50,124.2
30,Zane Gonzalez,14.4/15.4,6.6/8.4,0/0,23.7/28,27.5/29.2,106.0
