RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
1,Aaron Rodgers,374.5/583.3,4288.3,35.7,8.8,54.5,287.3,1.7,0,0,0,331.5
2,Tom Brady,389.5/598.8,4708.3,33.6,9.1,37.4,40.7,2.4,0,0,0,320.7
3,Drew Brees,429.5/642.7,4879.8,34.2,13.9,21.7,32.2,1.1,0,0,0,311.8
4,Matt Ryan,369.6/556.6,4460.1,32.3,11.2,35.1,115.5,1.0,0,0,0,301.9
5,Russell Wilson,330.7/514.6,4045.1,26.1,11.3,81.5,418.9,2.5,0,0,0,295.0
6,Cam Newton,311.2/531.3,3935.9,24.7,13.1,84.0,388.7,4.5,0,0,0,294.8
7,Matthew Stafford,394.2/608.8,4377.3,28.1,12.1,35.6,132.3,1.5,0,0,0,283.7
8,Jameis Winston,356.9/579.6,4235.3,28.0,15.8,49.7,212.9,1.9,0,0,0,277.2
9,Kirk Cousins,396.7/612.7,4710.9,26.2,12.9,30.6,56.1,1.5,0,0,0,274.9
10,Dak Prescott,335.1/513,3880.6,24.9,8.9,54.5,250.1,3.1,0,0,0,274.3
11,Andrew Luck,323/526.2,3807.4,27.5,13.9,57.8,275.2,1.6,0,0,0,267.8
12,Marcus Mariota,304.5/492.5,3605.1,27.0,11.1,63.2,324.7,1.9,0,0,0,266.4
13,Derek Carr,361.3/589.3,4093.9,26.7,9.5,36.2,101.3,0.9,0,0,0,264.9
14,Ben Roethlisberger,355.5/541.4,4214.5,27.2,13.8,25.6,60.8,0.7,0,0,0,259.4
15,Tyrod Taylor,286.8/456.5,3263.3,17.3,7.2,85.0,496.4,3.7,0,0,0,254.3
16,Andy Dalton,341.7/542.2,3934.9,22.6,12.2,51.9,196.7,2.5,0,0,0,253.1
17,Philip Rivers,359.3/567.2,4159.1,29.2,15.7,18.0,46.0,0.4,0,0,0,252.8
18,Eli Manning,371/601.2,4272.3,28.2,15.6,18.4,28.1,0.2,0,0,0,251.3
19,Carson Wentz,372.2/598.6,4267.6,21.6,12.1,48.5,173.7,1.8,0,0,0,249.7
20,Carson Palmer,362.1/581.5,4343.6,24.7,15.0,18.7,33.6,0.8,0,0,0,242.0
21,Joe Flacco,408.7/642.4,4300.2,21.9,15.6,25.8,49.3,1.1,0,0,0,236.3
22,Sam Bradford,358/546,3798.1,20.8,10.2,22.8,56.0,0.7,0,0,0,217.3
23,Alex Smith,311.5/478.7,3410.5,16.8,8.5,43.5,220.3,1.4,0,0,0,212.9
25,DeShone Kizer,293.9/493.7,3225.3,14.8,15.0,66.5,310.1,2.8,0,0,0,200.2
26,Brian Hoyer,327.9/534.3,3764.6,16.3,12.6,24.3,26.7,0.7,0,0,0,191.4
27,Jared Goff,324.4/547.5,3624.2,17.4,16.6,25.7,75.9,0.8,0,0,0,183.1
28,Trevor Siemian,271.2/444.8,3115.5,15.6,9.6,23.4,55.2,0.4,0,0,0,173.7
29,Blake Bortles,241.6/407.3,2726.6,14.3,10.3,43.0,246.3,1.2,0,0,0,173.2
30,Deshaun Watson,206.2/345.9,2325.6,12.6,10.4,38.2,189.1,1.2,0,0,0,144.3
31,Mike Glennon,200.9/326.6,2225.3,13.0,7.8,21.2,55.4,0.6,0,0,0,127.2
32,Josh McCown,171.3/279.8,1973.6,8.1,7.2,21.2,104.4,0.8,0,0,0,104.0
33,Tom Savage,133.3/221.5,1594.4,7.6,4.7,15.2,45.4,0.5,0,0,0,88.7
34,Mitchell Trubisky,117.1/188,1276.8,7.4,4.4,18.8,92.2,0.7,0,0,0,82.9
35,Christian Hackenberg,153.9/260.3,1647.8,7.2,10.2,10.4,25.1,0.3,0,0,0,75.7
36,Paxton Lynch,86.6/141.9,959.3,5.7,3.4,12.2,31.4,0.3,0,0,0,57.0
37,Chad Henne,61.9/103.3,696.2,3.3,3.0,7.6,29.7,0.2,0,0,0,37.4
38,Scott Tolzien,47.2/78.2,526.0,4.2,3.0,6.8,26.3,0.2,0,0,0,34.2
39,Cody Kessler,37.7/56.6,386.5,1.9,1.1,3.1,7.4,0.1,0,0,0,21.3
40,Drew Stanton,24.1/42.1,284.4,1.6,1.3,2.1,5.3,0.1,0,0,0,16.5
41,Nathan Peterman,23.2/37.6,254.5,1.4,1.3,5.5,22.1,0.2,0,0,0,16.5
42,Landry Jones,24.3/40.4,269.3,1.9,1.7,2.6,8.0,0.1,0,0,0,16.4
