RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
1,David Johnson,0/0,0,0,0,307.1,1229.7,11.7,77.8,783.0,4.1,369.2
2,Le'Veon Bell,0/0,0,0,0,303.6,1398.6,9.9,81.3,669.4,3.8,369.2
3,LeSean McCoy,0/0,0,0,0,240.8,1191.6,7.2,52.4,418.6,1.6,263.5
4,Devonta Freeman,0/0,0,0,0,202.3,858.9,9.5,52.2,446.9,3.4,260.2
5,Todd Gurley,0/0,0,0,0,291.6,1126.8,8.6,45.8,348.0,1.4,251.1
6,Melvin Gordon,0/0,0,0,0,295.7,1196.6,6.9,42.6,341.3,1.9,245.9
7,Jay Ajayi,0/0,0,0,0,295.3,1306.2,8.9,29.0,222.6,1.4,239.8
8,Jordan Howard,0/0,0,0,0,273.4,1245.5,8.2,31.8,258.3,1.4,237.9
9,DeMarco Murray,0/0,0,0,0,239.6,1049.7,7.7,43.5,310.1,1.8,234.1
10,Leonard Fournette,0/0,0,0,0,277.5,1236.7,8.4,30.9,250.4,0.7,230.1
11,Lamar Miller,0/0,0,0,0,256.0,1045.9,6.3,38.1,303.7,1.1,215.9
12,Marshawn Lynch,0/0,0,0,0,222.3,966.4,8.7,34.7,285.4,1.4,214.9
13,Christian McCaffrey,0/0,0,0,0,142.3,640.1,4.1,52.6,478.0,2.3,202.2
14,Isaiah Crowell,0/0,0,0,0,224.8,963.5,6.3,36.3,280.2,1.0,202.2
15,Mark Ingram,0/0,0,0,0,165.0,750.7,6.5,41.3,310.4,2.1,198.0
16,Carlos Hyde,0/0,0,0,0,232.9,966.4,6.3,34.2,257.4,1.1,195.9
17,Dalvin Cook,0/0,0,0,0,207.2,899.9,6.6,34.2,284.5,1.0,195.4
18,Ezekiel Elliott,0/0,0,0,0,195.8,920.9,7.0,27.8,243.3,1.2,190.9
19,Bilal Powell,0/0,0,0,0,154.7,698.6,3.4,53.7,397.0,1.3,190.6
20,Ty Montgomery,0/0,0,0,0,159.4,714.1,4.2,44.1,357.2,2.6,189.7
21,Frank Gore,0/0,0,0,0,230.1,934.1,6.1,28.9,229.0,1.4,188.6
22,Ameer Abdullah,0/0,0,0,0,203.2,862.6,4.7,35.5,291.3,1.7,182.5
23,Terrance West,0/0,0,0,0,211.1,868.2,5.1,34.1,241.8,1.4,181.3
24,Danny Woodhead,0/0,0,0,0,86.7,360.7,2.3,64.3,524.9,2.9,181.2
25,Theo Riddick,0/0,0,0,0,62.3,241.9,1.6,69.3,550.7,3.7,180.8
26,Kareem Hunt,0/0,0,0,0,182.4,747.5,6.4,35.4,277.0,0.8,178.3
27,Joe Mixon,0/0,0,0,0,194.0,817.4,7.3,28.1,223.6,0.9,178.2
28,Adrian Peterson,0/0,0,0,0,156.9,699.6,6.0,31.6,240.9,1.5,166.3
29,Duke Johnson,0/0,0,0,0,101.2,416.4,2.3,56.8,467.5,1.3,165.3
30,C.J. Anderson,0/0,0,0,0,173.5,772.4,4.9,29.7,237.0,0.8,165.0
31,Matt Forte,0/0,0,0,0,144.1,590.5,3.8,42.1,351.4,1.0,164.6
32,Paul Perkins,0/0,0,0,0,214.9,878.9,3.5,26.2,227.4,0.9,161.4
33,Tevin Coleman,0/0,0,0,0,124.5,535.4,5.1,32.9,312.7,2.3,161.4
34,Giovani Bernard,0/0,0,0,0,125.0,517.0,3.6,43.9,362.9,1.2,159.9
35,Darren Sproles,0/0,0,0,0,89.0,391.5,2.9,49.6,388.9,1.1,155.5
36,Robert Kelley,0/0,0,0,0,209.7,866.0,6.7,15.0,119.0,0.5,154.1
37,Chris Thompson,0/0,0,0,0,67.1,303.2,2.1,51.7,418.3,1.8,145.7
38,Eddie Lacy,0/0,0,0,0,183.6,808.6,5.4,15.0,124.8,0.7,144.6
39,Mike Gillislee,0/0,0,0,0,162.1,771.8,6.3,13.3,107.6,0.4,141.8
40,James White,0/0,0,0,0,46.9,192.3,2.0,48.4,414.0,2.6,137.2
41,Jonathan Stewart,0/0,0,0,0,177.9,767.8,6.5,11.9,93.2,0.4,136.8
42,Doug Martin,0/0,0,0,0,186.2,741.1,4.9,17.1,132.4,0.6,136.7
43,Darren McFadden,0/0,0,0,0,153.6,651.5,5.6,21.2,162.1,0.7,136.5
44,Shane Vereen,0/0,0,0,0,71.6,303.7,1.5,46.9,386.1,2.2,135.9
45,C.J. Prosise,0/0,0,0,0,65.3,277.8,2.1,41.9,381.6,1.3,126.8
46,Charles Sims,0/0,0,0,0,85.2,342.9,2.0,39.1,333.1,1.5,126.0
47,Jamaal Charles,0/0,0,0,0,102.5,530.3,2.3,28.3,235.5,1.5,124.4
48,LeGarrette Blount,0/0,0,0,0,161.8,666.5,6.2,9.1,67.3,0.3,120.3
49,Robert Turbin,0/0,0,0,0,79.2,309.7,2.0,35.5,282.2,1.9,118.0
50,Alvin Kamara,0/0,0,0,0,44.3,192.0,1.5,44.1,372.8,1.6,117.9
51,Rex Burkhead,0/0,0,0,0,106.6,456.3,4.2,22.4,185.5,1.2,117.5
52,Derrick Henry,0/0,0,0,0,155.3,656.0,4.5,10.8,88.7,0.3,112.4
53,Spencer Ware,0/0,0,0,0,110.4,487.7,4.7,17.2,147.4,0.6,110.8
54,T.J. Yeldon,0/0,0,0,0,47.0,184.7,0.8,41.8,298.2,1.1,100.9
55,Wendell Smallwood,0/0,0,0,0,101.1,414.6,3.1,18.0,142.0,0.4,94.1
56,Kyle Juszczyk,0/0,0,0,0,3.8,11.9,0.2,42.7,352.3,1.9,90.4
57,Jerick McKinnon,0/0,0,0,0,44.4,186.5,0.9,34.5,239.3,1.0,87.6
58,Latavius Murray,0/0,0,0,0,96.4,401.3,3.4,13.5,98.5,0.4,85.4
59,Dion Lewis,0/0,0,0,0,72.5,312.5,2.6,17.2,142.6,0.8,82.3
60,DeAndre Washington,0/0,0,0,0,72.7,319.8,2.1,17.3,133.7,0.7,78.7
61,Jamaal Williams,0/0,0,0,0,111.2,435.3,3.6,6.3,51.7,0.2,76.4
62,Jonathan Williams,0/0,0,0,0,101.4,421.4,4.0,3.5,30.5,0.1,72.0
63,Jalen Richard,0/0,0,0,0,40.4,180.9,1.1,21.8,171.6,0.9,69.6
64,Jacquizz Rodgers,0/0,0,0,0,92.5,382.4,2.1,9.8,64.3,0.3,68.5
65,Tarik Cohen,0/0,0,0,0,71.3,289.3,1.9,14.7,116.1,0.4,67.8
66,Damien Williams,0/0,0,0,0,28.7,114.8,1.0,21.6,180.9,1.4,65.1
67,Thomas Rawls,0/0,0,0,0,93.8,417.7,2.6,3.7,30.8,0.1,64.7
68,Devontae Booker,0/0,0,0,0,74.9,295.2,1.8,12.7,104.8,0.4,64.3
69,Tim Hightower,0/0,0,0,0,71.4,282.8,2.1,12.0,93.7,0.4,64.0
70,D'Onta Foreman,0/0,0,0,0,97.1,385.4,3.0,4.1,35.4,0.1,63.2
71,Kenyan Drake,0/0,0,0,0,65.6,279.8,1.9,10.8,87.7,0.3,62.5
72,Branden Oliver,0/0,0,0,0,28.7,112.9,0.7,21.4,167.5,0.9,59.5
73,Jeremy Hill,0/0,0,0,0,77.6,317.2,2.8,4.0,30.9,0.1,56.0
74,Samaje Perine,0/0,0,0,0,61.2,234.1,2.4,6.3,54.3,0.1,49.8
75,James Conner,0/0,0,0,0,59.9,235.4,2.7,4.3,35.7,0.1,47.6
76,Andre Williams,0/0,0,0,0,69.8,256.5,1.7,6.1,51.1,0.2,46.6
