RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
61,Adam Shaheen,0/0,0,0,0,0,0,0,9.8,97.6,0.8,24.4
70,Anthony Fasano,0/0,0,0,0,0,0,0,6.4,65.4,0.9,18.3
20,Antonio Gates,0/0,0,0,0,0,0,0,42.8,490.2,4.8,120.5
16,Austin Hooper,0/0,0,0,0,0,0,0,48.2,569.2,6.0,141.2
29,Austin Seferian-Jenkins,0/0,0,0,0,0,0,0,33.2,383.7,2.5,86.6
76,Ben Koyack,0/0,0,0,0,0,0,0,5.8,54.7,0.3,13.2
30,Benjamin Watson,0/0,0,0,0,0,0,0,32.6,325.4,2.2,77.8
66,Brent Celek,0/0,0,0,0,0,0,0,7.9,93.2,0.5,20.3
100,Brian Parker,0/0,0,0,0,0,0,0,0.9,9.5,0.1,2.2
55,Bucky Hodges,0/0,0,0,0,0,0,0,11.5,114.9,0.8,27.8
15,C.J. Fiedorowicz,0/0,0,0,0,0,0,0,57.0,620.4,4.0,142.7
77,C.J. Uzomah,0/0,0,0,0,0,0,0,5.3,51.5,0.4,13.0
18,Cameron Brate,0/0,0,0,0,0,0,0,50.9,552.1,5.0,136.2
21,Charles Clay,0/0,0,0,0,0,0,0,48.3,487.9,3.3,117.4
43,Clive Walford,0/0,0,0,0,0,0,0,18.8,213.3,1.8,51.2
17,Coby Fleener,0/0,0,0,0,0,0,0,47.7,570.6,5.9,139.8
41,Crockett Gillmore,0/0,0,0,0,0,0,0,21.4,220.3,1.4,51.8
81,Darren Fells,0/0,0,0,0,0,0,0,3.9,41.7,0.4,10.3
54,Darren Waller,0/0,0,0,0,0,0,0,12.6,121.1,0.8,29.4
84,David Johnson,0/0,0,0,0,0,0,0,3.8,39.6,0.4,9.9
27,David Njoku,0/0,0,0,0,0,0,0,42.2,447.7,2.6,102.1
6,Delanie Walker,0/0,0,0,0,0,0,0,63.3,742.9,6.0,173.5
52,Demetrius Harris,0/0,0,0,0,0,0,0,13.1,124.1,1.0,31.2
49,Dion Sims,0/0,0,0,0,0,0,0,13.6,131.4,1.3,34.3
50,Dwayne Allen,0/0,0,0,0,0,0,0,11.5,124.6,1.3,31.9
59,Ed Dickson,0/0,0,0,0,0,0,0,9.6,109.1,0.8,25.6
12,Eric Ebron,0/0,0,0,0,0,0,0,62.4,701.0,4.0,155.9
82,Eric Saubert,0/0,0,0,0,0,0,0,3.7,38.5,0.4,10.2
78,Eric Tomlinson,0/0,0,0,0,0,0,0,4.6,47.0,0.3,11.0
32,Erik Swoope,0/0,0,0,0,0,0,0,22.9,319.8,2.2,67.8
19,Evan Engram,0/0,0,0,0,0,0,0,47.1,514.1,3.9,121.4
86,Garrett Celek,0/0,0,0,0,0,0,0,3.6,41.6,0.2,9.1
96,Geoff Swaim,0/0,0,0,0,0,0,0,1.7,17.4,0.2,4.4
40,George Kittle,0/0,0,0,0,0,0,0,22.0,233.6,1.3,53.2
31,Gerald Everett,0/0,0,0,0,0,0,0,31.4,341.0,2.0,77.5
1,Greg Olsen,0/0,0,0,0,0,0,0,80.2,1064.5,6.3,225.4
14,Hunter Henry,0/0,0,0,0,0,0,0,50.9,602.8,6.1,147.4
80,Ifeanyi Momah,0/0,0,0,0,0,0,0,4.0,43.4,0.3,10.4
10,Jack Doyle,0/0,0,0,0,0,0,0,62.9,615.5,6.2,161.1
87,Jake Butt,0/0,0,0,0,0,0,0,3.7,37.2,0.3,9.0
58,James Hanna,0/0,0,0,0,0,0,0,10.6,103.3,0.8,25.7
26,Jared Cook,0/0,0,0,0,0,0,0,37.5,474.0,3.5,105.6
11,Jason Witten,0/0,0,0,0,0,0,0,65.7,661.6,4.6,159.3
85,Jeff Cumberland,0/0,0,0,0,0,0,0,3.7,38.3,0.4,9.7
56,Jeff Heuerman,0/0,0,0,0,0,0,0,11.1,111.7,0.8,26.9
92,Jeremy Sprinkle,0/0,0,0,0,0,0,0,2.0,22.0,0.1,5.1
28,Jermaine Gresham,0/0,0,0,0,0,0,0,41.4,424.3,2.9,100.2
25,Jesse James,0/0,0,0,0,0,0,0,42.3,441.3,3.8,109.5
7,Jimmy Graham,0/0,0,0,0,0,0,0,58.3,726.8,6.5,169.4
118,John Phillips,0/0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
73,Jonnu Smith,0/0,0,0,0,0,0,0,6.4,65.8,0.6,16.9
63,Jordan Leggett,0/0,0,0,0,0,0,0,9.6,98.8,0.6,23.2
3,Jordan Reed,0/0,0,0,0,0,0,0,88.0,970.5,6.3,221.9
44,Josh Hill,0/0,0,0,0,0,0,0,17.0,181.1,2.2,48.2
22,Julius Thomas,0/0,0,0,0,0,0,0,42.1,416.1,5.5,116.6
5,Kyle Rudolph,0/0,0,0,0,0,0,0,76.4,742.2,6.6,190.4
69,Lance Kendricks,0/0,0,0,0,0,0,0,7.2,70.7,0.8,19.2
64,Lee Smith,0/0,0,0,0,0,0,0,8.6,76.7,0.8,20.9
60,Levine Toilolo,0/0,0,0,0,0,0,0,9.2,92.4,1.2,25.6
48,Logan Paulsen,0/0,0,0,0,0,0,0,14.3,151.7,0.9,34.9
74,Logan Thomas,0/0,0,0,0,0,0,0,6.5,65.5,0.5,16.1
94,Luke Stocker,0/0,0,0,0,0,0,0,1.9,18.5,0.2,4.8
57,Luke Willson,0/0,0,0,0,0,0,0,9.8,118.1,0.8,26.6
89,MarQueis Gray,0/0,0,0,0,0,0,0,3.3,32.9,0.3,8.7
42,Marcedes Lewis,0/0,0,0,0,0,0,0,19.3,215.1,1.8,51.3
9,Martellus Bennett,0/0,0,0,0,0,0,0,62.9,650.7,6.0,164.3
75,Matt LaCosse,0/0,0,0,0,0,0,0,6.0,60.8,0.5,15.0
79,Matt Lengel,0/0,0,0,0,0,0,0,4.0,41.0,0.4,10.7
68,Maxx Williams,0/0,0,0,0,0,0,0,8.5,79.1,0.5,19.4
91,Michael Hoomanawanui,0/0,0,0,0,0,0,0,2.2,23.0,0.2,6.0
65,Michael Roberts,0/0,0,0,0,0,0,0,7.9,83.4,0.7,20.6
39,Mychal Rivera,0/0,0,0,0,0,0,0,25.0,233.3,1.8,58.4
95,Neal Sterling,0/0,0,0,0,0,0,0,1.8,18.0,0.1,4.4
67,Nick Boyle,0/0,0,0,0,0,0,0,8.4,80.8,0.5,19.6
62,Nick O'Leary,0/0,0,0,0,0,0,0,9.7,98.2,0.8,24.1
88,Nick Vannett,0/0,0,0,0,0,0,0,3.3,34.1,0.3,8.7
24,O.J. Howard,0/0,0,0,0,0,0,0,42.4,435.1,3.9,109.5
99,Phillip Supernaw,0/0,0,0,0,0,0,0,1.6,16.5,0.2,4.2
98,Randall Telfer,0/0,0,0,0,0,0,0,1.8,17.9,0.1,4.2
53,Rhett Ellison,0/0,0,0,0,0,0,0,12.3,121.8,0.9,29.7
83,Richard Rodgers,0/0,0,0,0,0,0,0,3.7,38.2,0.4,10.1
2,Rob Gronkowski,0/0,0,0,0,0,0,0,67.3,1028.1,9.0,223.6
90,Ross Travis,0/0,0,0,0,0,0,0,3.4,33.2,0.2,8.1
