RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
1,Antonio Brown,0/0,0,0,0,4.0,22.3,0.1,107.7,1420.3,7.7,302.8
2,Julio Jones,0/0,0,0,0,0.0,0.0,0.0,95.7,1434.5,7.4,284.1
3,Odell Beckham Jr.,0/0,0,0,0,0.0,0.0,0.0,97.4,1312.5,8.1,276.5
4,A.J. Green,0/0,0,0,0,0.0,0.0,0.0,96.1,1314.9,7.6,273.3
5,Jordy Nelson,0/0,0,0,0,0.0,0.0,0.0,88.6,1228.4,9.8,270.4
6,Mike Evans,0/0,0,0,0,0.0,0.0,0.0,86.8,1200.8,8.6,259.5
7,Michael Thomas,0/0,0,0,0,0.0,0.0,0.0,94.2,1171.7,8.0,258.7
8,T.Y. Hilton,0/0,0,0,0,0.0,0.0,0.0,84.1,1285.7,7.4,257.5
9,Doug Baldwin,0/0,0,0,0,4.1,25.7,0.1,85.6,1098.7,6.6,238.2
10,Brandin Cooks,0/0,0,0,0,6.4,39.7,0.3,81.5,1080.0,6.1,231.5
11,Demaryius Thomas,0/0,0,0,0,0.0,0.0,0.0,87.1,1087.3,5.9,230.1
12,DeAndre Hopkins,0/0,0,0,0,0.0,0.0,0.0,83.0,1134.6,5.4,229.0
13,Amari Cooper,0/0,0,0,0,4.0,25.4,0.1,81.8,1110.3,5.6,228.7
14,Michael Crabtree,0/0,0,0,0,0.0,0.0,0.0,84.9,982.5,7.2,226.1
15,Emmanuel Sanders,0/0,0,0,0,0.0,0.0,0.0,83.1,1113.8,5.3,225.7
16,Terrelle Pryor,0/0,0,0,0,3.3,20.7,0.1,76.5,1083.2,6.4,225.5
17,Larry Fitzgerald,0/0,0,0,0,0.0,0.0,0.0,89.7,1002.3,5.8,224.2
18,Golden Tate,0/0,0,0,0,9.8,55.2,0.2,84.8,976.7,5.5,221.3
19,Davante Adams,0/0,0,0,0,0.0,0.0,0.0,75.4,935.0,8.4,218.4
20,Alshon Jeffery,0/0,0,0,0,0.0,0.0,0.0,75.6,1063.8,5.6,215.4
21,Dez Bryant,0/0,0,0,0,0.0,0.0,0.0,69.5,999.9,7.7,215.3
22,Jarvis Landry,0/0,0,0,0,4.1,24.1,0.1,87.6,944.2,4.5,212.6
23,Tyreek Hill,0/0,0,0,0,26.7,168.1,1.2,76.1,830.2,4.1,212.4
24,Allen Robinson,0/0,0,0,0,0.0,0.0,0.0,72.9,994.3,5.8,207.1
25,Keenan Allen,0/0,0,0,0,0.0,0.0,0.0,83.1,950.8,5.0,207.1
26,Kelvin Benjamin,0/0,0,0,0,0.0,0.0,0.0,67.7,974.7,6.7,205.5
27,Jamison Crowder,0/0,0,0,0,4.0,25.3,0.1,78.7,959.8,4.2,203.6
28,Pierre Garcon,0/0,0,0,0,0.0,0.0,0.0,80.5,991.0,3.9,203.0
29,Sammy Watkins,0/0,0,0,0,0.0,0.0,0.0,70.2,1066.3,4.5,202.6
30,Martavis Bryant,0/0,0,0,0,6.0,37.9,0.2,61.5,922.6,7.1,201.3
31,Stefon Diggs,0/0,0,0,0,3.7,23.5,0.1,79.5,924.6,4.3,200.9
32,DeVante Parker,0/0,0,0,0,0.0,0.0,0.0,66.4,917.5,6.4,196.7
33,Brandon Marshall,0/0,0,0,0,0.0,0.0,0.0,67.0,873.8,6.5,193.5
34,Donte Moncrief,0/0,0,0,0,1.9,11.7,0.1,68.6,782.9,7.3,191.7
35,Jeremy Maclin,0/0,0,0,0,2.3,14.4,0.0,75.0,910.6,3.9,190.1
36,Randall Cobb,0/0,0,0,0,7.4,47.5,0.2,68.3,783.3,6.0,189.7
37,DeSean Jackson,0/0,0,0,0,0.0,0.0,0.0,58.0,948.4,4.5,180.0
