Player,SACKS,INTS,FR,FF,TDS,ASSIST,SAFETY,PA,YDS AGN,Points
Denver Broncos,39.6,15.3,12.1,20.6,4.0,0.0,0.9,299.9,"4,956.1",120.1
Arizona Cardinals,40.1,15.0,12.1,19.5,3.8,0.0,0.5,321.1,"4,902.4",118.4
Kansas City Chiefs,33.3,16.4,12.4,20.4,3.8,0.0,0.2,314.4,"5,564.8",114.4
Minnesota Vikings,39.9,15.0,10.8,18.7,3.6,0.0,0.5,334.4,"5,525.9",114.4
Houston Texans,39.1,15.2,10.6,16.7,3.8,0.0,0.3,305.6,"4,942.7",113.9
Seattle Seahawks,39.8,14.5,11.1,17.7,3.5,0.0,0.9,289.9,"4,977.9",113.6
Carolina Panthers,39.4,14.9,11.1,18.6,3.1,0.0,0.9,358.5,"5,502.3",111.7
Philadelphia Eagles,34.6,15.0,11.6,20.1,3.6,0.0,0.9,346.0,"5,551.2",111.4
New England Patriots,38.3,14.8,10.9,17.5,3.2,0.0,0.9,295.3,"5,220.4",110.9
Tampa Bay Buccaneers,37.2,14.5,11.1,18.8,3.3,0.0,0.5,374.6,"5,801.0",109.0
New York Giants,35.3,15.7,10.8,18.4,3.2,0.0,0.6,326.6,"5,435.6",108.7
Jacksonville Jaguars,37.2,14.3,9.9,16.5,3.5,0.0,0.5,375.3,"5,344.1",107.9
Baltimore Ravens,35.4,15.1,11.0,17.5,3.3,0.0,0.2,319.3,"5,168.9",107.5
Los Angeles Chargers,35.9,14.3,11.3,18.4,3.2,0.0,0.6,385.1,"5,451.9",107.4
Pittsburgh Steelers,37.1,14.9,11.3,19.0,2.9,0.0,0.2,327.0,"5,429.2",107.1
Green Bay Packers,37.0,15.5,8.8,15.5,2.9,0.0,0.9,361.2,"5,702.1",104.9
Tennessee Titans,38.1,13.8,9.0,16.2,3.3,0.0,0.5,360.9,"5,473.7",104.4
Los Angeles Rams,36.6,13.7,11.1,17.9,2.7,0.0,0.5,355.0,"5,390.3",103.7
Miami Dolphins,33.9,14.8,9.8,16.1,3.1,0.0,0.9,376.3,"5,943.1",103.7
Oakland Raiders,31.7,14.7,11.5,19.9,2.9,0.0,0.5,376.2,"5,868.0",103.0
Cincinnati Bengals,35.6,15.7,9.2,14.4,2.7,0.0,0.2,327.6,"5,586.2",102.1
Buffalo Bills,36.5,14.3,8.8,15.3,3.1,0.0,0.2,383.1,"5,986.2",101.5
Dallas Cowboys,34.0,13.2,11.3,18.8,2.9,0.0,0.5,342.8,"5,521.4",101.3
Washington Redskins,35.3,12.9,11.0,18.7,2.8,0.0,0.5,379.5,"5,983.8",100.5
Atlanta Falcons,33.5,12.9,10.1,17.4,3.2,0.0,0.5,377.0,"5,872.9",99.7
Indianapolis Colts,33.1,13.6,9.5,18.1,3.2,0.0,0.2,378.6,"5,902.0",98.7
San Francisco 49ers,32.1,13.0,9.5,17.6,2.7,0.0,0.2,414.2,"6,073.5",93.3
Detroit Lions,32.9,12.0,8.4,15.2,2.5,0.0,1.5,384.7,"5,941.7",91.5
Chicago Bears,36.2,11.5,8.1,13.6,2.6,0.0,0.2,396.6,"5,735.6",91.3
New Orleans Saints,31.1,11.4,10.8,18.7,2.4,0.0,0.2,432.2,"6,191.6",90.0
New York Jets,32.1,11.1,9.0,16.3,2.7,0.0,0.2,388.7,"5,622.8",88.7
Cleveland Browns,32.1,12.6,7.8,14.1,2.3,0.0,0.2,403.9,"6,015.5",87.2
