Player,FG,FGA,XPT,Points
Adam Vinatieri,27.6,31.3,41.1,124.1
Aldrick Rosas,24.3,29.1,36.7,109.6
Andrew Franks,21.2,26.5,35.9,99.6
Blair Walsh,28.1,34.1,37.0,121.4
Brandon McManus,27.0,32.1,33.4,114.5
Cairo Santos,28.7,33.6,36.4,122.4
Caleb Sturgis,28.4,33.9,35.2,120.3
Chandler Catanzaro,23.1,28.5,28.3,97.7
Chris Boswell,26.8,31.5,39.0,119.4
Cody Parkey,22.3,27.7,28.2,94.9
Connor Barth,22.9,29.0,32.0,100.8
Dan Bailey,27.4,31.6,43.1,125.3
Dustin Hopkins,28.4,34.3,38.6,123.7
Graham Gano,29.7,36.4,38.2,127.4
Greg Zuerlein,22.2,27.1,28.2,94.9
Harrison Butker,14.2,16.7,19.2,61.6
Jake Elliott,17.7,21.0,24.7,77.8
Jason Myers,26.3,31.6,33.4,112.2
Josh Lambo,26.6,32.7,37.6,117.3
Justin Tucker,32.0,35.1,34.7,130.6
Kai Forbath,26.5,30.1,33.9,113.3
Mason Crosby,27.8,32.5,45.8,129.3
Matt Bryant,30.1,34.2,46.9,137.1
Matt Prater,28.1,32.2,35.7,120.0
Nick Folk,25.1,29.6,37.1,112.5
Nick Novak,27.2,32.6,30.9,112.6
Phil Dawson,25.2,29.4,42.1,117.7
Randy Bullock,25.7,30.6,36.3,113.5
Robbie Gould,23.5,27.2,31.0,101.5
Ryan Succop,24.2,27.5,39.2,111.8
Sebastian Janikowski,28.1,33.7,40.1,124.5
Stephen Gostkowski,31.2,36.0,49.6,143.3
Steven Hauschka,25.9,30.4,36.6,114.2
Zane Gonzalez,15.6,19.1,18.9,65.7
