Player,ATT,CMP,YDS,TDS,INTS,ATT.1,YDS.1,TDS.1,FL,Points
AJ McCarron,15.3,9.3,110.4,0.6,0.3,1.2,2.5,0.0,0.1,6.4
Aaron Rodgers,597.5,391.1,"4,380.0",35.0,9.2,58.3,329.5,2.5,3.6,337.4
Alex Smith,493.3,322.8,"3,496.0",19.6,8.7,54.7,226.6,2.9,3.9,233.1
Andrew Luck,571.9,355.2,"4,219.0",30.0,16.4,62.6,311.8,2.0,3.3,292.5
Andy Dalton,538.7,345.9,"3,979.1",24.0,11.4,50.2,168.5,2.6,3.5,258.3
Ben Roethlisberger,553.3,364.7,"4,273.1",29.0,14.8,22.3,37.2,0.6,2.7,259.3
Blaine Gabbert,45.0,26.0,312.0,1.0,1.0,3.0,3.0,0.0,0.0,14.8
Blake Bortles,565.9,333.8,"3,738.1",23.4,15.9,56.8,329.0,2.2,4.4,248.8
Brad Kaaya,6.2,3.8,42.5,0.3,0.2,0.2,0.8,0.0,0.0,2.6
Brandon Weeden,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
Brett Hundley,18.0,10.2,123.1,0.5,0.5,0.8,2.7,0.0,0.1,6.2
Brian Hoyer,448.3,275.5,"3,046.1",16.8,10.4,25.1,60.4,0.3,4.0,167.9
Brock Osweiler,128.8,76.3,842.3,4.4,3.7,9.8,34.3,0.2,1.0,46.5
Bryce Petty,78.2,44.5,501.4,2.6,2.9,5.6,16.3,0.1,0.4,26.1
C.J. Beathard,34.5,20.4,203.1,1.1,1.3,1.8,6.8,0.1,0.0,11.2
Cam Newton,526.1,305.5,"3,755.6",24.4,14.4,85.6,394.4,4.8,3.8,279.4
Cardale Jones,38.0,24.7,267.3,1.5,1.0,2.7,6.3,0.1,0.2,15.2
Carson Palmer,581.5,357.9,"4,169.7",26.1,15.6,18.7,33.7,0.4,3.7,238.3
Carson Wentz,598.5,366.8,"3,990.5",22.7,14.6,48.9,170.9,2.1,3.5,243.7
