Player,REC,REC YDS,REC YDS,FL,Points
Adam Shaheen,12.9,137.9,1.3,0.0,21.4
Anthony Fasano,11.5,116.1,0.9,0.0,16.8
Antonio Gates,46.0,495.1,4.6,0.4,76.3
Austin Hooper,41.1,470.1,4.5,0.3,73.4
Austin Seferian-Jenkins,24.6,277.7,2.2,0.1,40.6
Ben Braunecker,7.0,91.0,1.0,0.0,15.1
Ben Koyack,10.4,102.4,0.7,0.0,14.1
Benjamin Watson,28.4,288.9,2.1,0.2,41.2
Blake Bell,7.0,91.0,1.0,0.0,15.1
Brandon Williams,2.0,20.0,0.0,0.0,2.0
Brent Celek,10.5,119.1,0.6,0.0,15.2
Bucky Hodges,5.8,62.3,0.3,0.0,7.8
C.J. Fiedorowicz,52.3,557.8,4.0,0.0,79.8
C.J. Uzomah,7.8,77.8,0.1,0.0,8.6
Cameron Brate,48.5,536.5,4.3,0.4,78.7
Charles Clay,49.1,510.5,3.7,0.3,72.3
Chris Manhertz,1.0,15.0,1.4,0.0,9.9
Clive Walford,21.0,224.1,1.8,0.1,33.0
Coby Fleener,51.4,609.9,5.1,0.4,90.5
Cole Wick,6.5,70.5,0.6,0.0,10.4
Cory Harkey,12.0,126.0,1.0,0.0,18.6
Crockett Gillmore,20.9,215.1,1.5,0.0,30.7
Daniel Brown,5.0,53.0,0.0,0.0,5.3
Darren Fells,6.5,72.5,0.7,0.0,11.2
David Johnson,15.0,157.0,2.5,0.0,30.7
David Njoku,45.4,487.6,3.2,0.0,68.0
Delanie Walker,63.6,737.5,5.0,0.5,102.6
Demetrius Harris,15.1,138.6,1.0,0.0,19.9
Derek Carrier,3.0,32.0,1.1,0.0,9.8
Dion Sims,16.7,164.1,1.4,0.0,24.8
Dwayne Allen,29.4,363.2,3.9,0.3,59.0
Ed Dickson,11.2,125.0,1.0,0.0,18.4
Eric Ebron,57.9,658.5,4.0,0.4,88.8
Eric Saubert,7.5,82.5,0.0,0.0,8.3
Eric Tomlinson,3.8,39.5,0.4,0.0,6.4
