Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Julio Jones,0.0,0.2,0.0,99.6,"1,520.3",9.2,0.7,205.9
Antonio Brown,3.1,16.6,0.0,111.1,"1,422.4",10.5,0.9,205.0
Odell Beckham Jr.,0.6,4.5,0.0,97.5,"1,333.6",9.8,1.0,190.8
Mike Evans,0.0,0.0,0.0,89.8,"1,284.0",9.4,0.7,183.5
Jordy Nelson,0.0,0.0,0.0,90.1,"1,215.3",10.7,1.2,183.2
A.J. Green,0.0,0.0,0.0,90.1,"1,273.0",7.9,0.8,173.4
Michael Thomas,0.0,0.0,0.0,94.5,"1,193.2",8.5,0.7,168.8
T.Y. Hilton,0.0,0.0,0.0,82.1,"1,238.6",6.7,0.7,162.6
Dez Bryant,0.0,0.0,0.0,72.7,"1,072.6",9.0,1.3,158.6
Doug Baldwin,2.3,12.2,0.1,86.7,"1,081.8",8.1,0.6,157.7
Amari Cooper,1.8,8.8,0.0,83.6,"1,157.4",6.8,0.7,156.0
Brandin Cooks,4.9,23.9,0.1,79.9,"1,097.3",7.2,0.7,154.6
DeAndre Hopkins,0.0,0.0,0.0,83.4,"1,100.5",6.1,0.7,145.1
Allen Robinson,0.0,0.0,0.0,76.5,"1,024.7",7.3,0.7,144.7
Demaryius Thomas,0.0,0.3,0.0,86.7,"1,094.1",6.4,1.9,144.2
Alshon Jeffery,0.5,2.8,0.0,75.3,"1,039.8",6.1,0.7,139.6
Michael Crabtree,0.0,0.0,0.0,83.7,971.5,7.3,0.7,139.4
Terrelle Pryor,2.2,12.6,0.0,70.0,"1,000.4",5.6,0.4,134.1
Davante Adams,0.3,2.1,0.0,70.8,906.0,7.4,1.0,133.1
Golden Tate,6.6,28.8,0.1,88.9,"1,002.3",5.3,1.3,132.6
Kelvin Benjamin,0.0,-0.1,0.0,67.2,948.9,6.7,1.2,132.5
Emmanuel Sanders,0.8,3.2,0.0,75.0,"1,004.7",5.5,0.9,132.3
Larry Fitzgerald,0.1,0.3,0.0,92.9,984.8,6.0,1.3,132.0
