Player,Opp,GP,SACKS,INTS,FR,SAFETY,TDS,Def 2pt Ret,TD.1,Pts Allow,Points
Minnesota Vikings,NO,16,39,16,10,-,2,-,-,327,111.0
Seattle Seahawks,@GB,16,37,16,10,-,2,-,-,302,109.0
Denver Broncos,LAC,16,35,16,10,-,2,-,-,347,108.0
Los Angeles Rams,IND,16,35,18,10,-,1,-,-,225,107.0
Atlanta Falcons,@CHI,16,38,15,10,-,2,-,-,308,106.0
Jacksonville Jaguars,@HOU,16,37,15,10,-,2,-,-,349,106.0
Carolina Panthers,@SF,16,35,16,10,-,2,-,-,369,106.0
New England Patriots,KC,16,36,15,10,-,1,-,-,353,104.0
Pittsburgh Steelers,@CLE,16,36,15,10,-,1,-,-,347,103.0
Houston Texans,JAX,16,37,15,10,-,1,-,-,352,103.0
Chicago Bears,ATL,16,38,15,9,-,1,-,-,361,102.0
Kansas City Chiefs,@NE,16,33,16,9,-,1,-,-,357,102.0
Green Bay Packers,SEA,16,37,15,9,-,1,-,-,349,102.0
Tennessee Titans,OAK,16,37,14,10,-,1,-,-,352,102.0
Philadelphia Eagles,@WAS,16,32,16,10,-,1,-,-,371,101.0
New Orleans Saints,@MIN,16,36,14,11,-,1,-,-,356,101.0
Indianapolis Colts,@LA,16,36,14,10,-,1,-,-,345,100.0
Baltimore Ravens,@CIN,16,34,15,10,-,1,-,-,353,99.0
Buffalo Bills,NYJ,16,37,14,9,-,1,-,-,373,98.0
Arizona Cardinals,@DET,16,34,14,10,-,1,-,-,373,98.0
Los Angeles Chargers,@DEN,16,35,14,10,-,1,-,-,367,98.0
New York Giants,@DAL,16,33,15,10,-,1,-,-,342,98.0
New York Jets,@BUF,16,35,13,10,-,1,-,-,351,98.0
Cincinnati Bengals,BAL,16,32,15,10,-,1,-,-,355,97.0
Tampa Bay Buccaneers,@MIA,16,36,14,10,-,1,-,-,369,97.0
