,,,Passing,Rushing,Receiving,Misc,Fum,Fantasy
Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
"Aaron Rodgers QB - gb","SEA","16","3723.01","34.75","13.66","381.6","3.12","-","-","-","0.41","3.89","310.52"
"Tom Brady QB - ne","KC","16","3770.47","34.16","14.28","172.29","1.53","-","-","-","1.37","3.65","280.75"
"Matt Ryan QB - atl","@CHI","16","3204.06","35.06","13.91","136.52","1.35","-","-","-","0.91","3.25","257.65"
"Tyrod Taylor QB - buf","NYJ","16","2702.9","20.58","11.53","590.06","5.21","-","-","-","0.51","3.28","252.10"
"Drew Brees QB - no","@MIN","16","3458.57","34.38","16.79","81.83","0.82","-","-","-","1.04","3.38","250.71"
"Russell Wilson QB - sea","@GB","16","3011.47","27.08","13.23","353.98","2.43","-","-","-","1.37","3.51","248.02"
"Andrew Luck QB - ind","@LA","16","3047.27","27.2","14.89","273.08","2.37","-","-","-","1.34","3.58","237.96"
"Ben Roethlisberger QB - pit","@CLE","16","3284.59","27.32","15.94","116.62","0.93","-","-","-","3.63","3.21","226.87"
"Kirk Cousins QB - was","PHI","16","3164.53","25.82","14.42","151.41","1.78","-","-","-","0.82","3.42","221.64"
"Dak Prescott QB - dal","NYG","16","2782.3","25.05","13.23","255.79","2.82","-","-","-","0.28","3.26","221.57"
"Marcus Mariota QB - ten","OAK","16","2837.95","23.25","13.36","301.55","2.28","-","-","-","1.81","3.38","220.49"
"Alex Smith QB - kc","@NE","16","2913.96","21.3","12.69","275.18","3.01","-","-","-","1.71","3.29","218.80"
"Cam Newton QB - car","@SF","16","2626.9","25.16","17.29","321.21","2.94","-","-","-","1.87","3.35","217.94"
"Jameis Winston QB - tb","@MIA","16","2777.45","27.55","15.05","206.24","1.49","-","-","-","1.39","3.64","216.26"
"Carson Palmer QB - ari","@DET","16","3046.76","29.69","17.18","43.11","0.39","-","-","-","1.82","3.14","210.28"
"Matthew Stafford QB - det","ARI","16","2949.3","24.98","13.96","159.61","1.41","-","-","-","1.18","3.24","210.27"
"Ryan Tannehill QB - mia","TB","16","2844.2","22.6","14.73","246.78","1.85","-","-","-","1.49","3.44","206.59"
"Derek Carr QB - oak","@TEN","16","3036.13","22.86","13.94","137.58","0.97","-","-","-","2","3.31","201.96"
"Sam Bradford QB - min","NO","16","2968.11","24.37","13.08","112.6","0.91","-","-","-","0.59","3.36","201.22"
"Blake Bortles QB - jax","@HOU","16","2782.85","21.94","16.06","223.19","1.82","-","-","-","0.56","3.48","194.35"
"Andy Dalton QB - cin","BAL","16","2887.02","22.1","13.86","144.6","1.32","-","-","-","0.51","3.19","193.18"
"Philip Rivers QB - lac","@DEN","16","2693.8","25.94","15.24","42.33","0.34","-","-","-","1.23","2.91","183.95"
"Mike Glennon QB - chi","ATL","16","2609.61","23.84","14.84","121.33","1.01","-","-","-","0.96","3.13","183.92"
"Joe Flacco QB - bal","@CIN","16","2755.93","22.13","13.52","69.37","0.61","-","-","-","1.82","3.31","179.33"
"Carson Wentz QB - phi","@WAS","16","2818.79","18.54","15.2","162.53","1.51","-","-","-","0.99","3.66","176.48"
"Eli Manning QB - nyg","@DAL","16","2668.32","23.43","16","53.76","0.53","-","-","-","0.48","3.05","171.87"
"Trevor Siemian QB - den","LAC","16","2594.87","21.11","14.98","98.26","0.82","-","-","-","0.62","3.17","167.92"
"Josh McCown QB - nyj","@BUF","16","2477.69","21.49","15.67","113.37","0.91","-","-","-","1.16","3.12","166.60"
"Brian Hoyer QB - sf","CAR","16","2303.53","20.49","13.84","71.71","0.61","-","-","-","0.41","3.14","151.79"
"Cody Kessler QB - cle","PIT","16","2374.6","14.93","11.57","111.81","0.95","-","-","-","0.97","2.74","144.91"
"Tom Savage QB - hou","JAX","16","2097","13.71","13.3","181.57","1.49","-","-","-","0.33","3.25","133.38"
"Jared Goff QB - la","IND","16","1754.4","12.95","13.57","84.38","0.81","-","-","-","0.37","2.86","103.15"
"Kevin Hogan QB - cle","PIT","15","110.69","0.54","1.04","69.86","0.63","-","-","-","0.19","0.4","14.85"
"Ryan Fitzpatrick QB - tb","@MIA","16","156.66","1.49","1.82","13.27","0.13","-","-","-","0.28","0.32","10.61"
"Trevone Boykin QB - sea","@GB","16","116.74","0.59","0.95","16.2","0.15","-","-","-","0.19","0.25","7.53"
"Brett Hundley QB - gb","SEA","16","117.11","0.69","1.02","11.91","0.11","-","-","-","0.2","0.24","7.18"
"Patrick Mahomes QB - kc","@NE","16","119.3","0.68","1.01","11.62","0.11","-","-","-","0.17","0.26","7.11"
"Cardale Jones QB - buf","NYJ","16","114.56","0.58","1.04","13.76","0.12","-","-","-","0.21","0.25","6.84"
"Geno Smith QB - nyg","@DAL","16","124.89","0.66","1.02","7.33","0.08","-","-","-","0.16","0.2","6.73"
"Jimmy Garoppolo QB - ne","KC","16","118.78","0.63","0.86","6.34","0.07","-","-","-","0.17","0.2","6.55"
"Kellen Moore QB - dal","NYG","16","133.41","0.79","1.23","1","0.06","-","-","-","0.18","0.23","6.40"
"Mitchell Trubisky QB - chi","ATL","16","118.48","0.58","0.96","6.67","0.07","-","-","-","0.19","0.23","6.15"
"Derek Anderson QB - car","@SF","16","103.6","0.92","1.25","0.08","0.03","-","-","-","0.41","0.13","6.07"
"Paxton Lynch QB - den","LAC","16","108.15","0.65","0.95","7.52","0.06","-","-","-","0.17","0.21","6.06"
"Matt Barkley QB - sf","CAR","16","127.36","0.86","1.44","2.3","0.05","-","-","-","0.18","0.28","5.98"
"Jake Rudock QB - det","ARI","16","115.97","0.58","0.95","4.48","0.08","-","-","-","0.18","0.21","5.93"
