Player,Opp,GP,Yds,TD,Int,RUSH YDS,RUSH TDS,REC TDS,REC TDS,FumTD,2PT,FL,Points
David Johnson,@DET,16,-,-,-,1104,10,782,4,-,-,2,270.0
Le'Veon Bell,@CLE,16,-,-,-,1473,10,447,2,-,-,2,263.0
LeSean McCoy,NYJ,16,-,-,-,1343,10,410,1,-,-,1,243.0
Devonta Freeman,@CHI,16,-,-,-,945,8,530,3,-,-,1,217.0
Ezekiel Elliott,NYG,16,-,-,-,1310,9,254,-,-,-,2,216.0
Jordan Howard,ATL,16,-,-,-,1302,8,255,1,-,-,1,208.0
Melvin Gordon,@DEN,16,-,-,-,1038,7,375,1,-,-,1,191.0
Mark Ingram,@MIN,16,-,-,-,947,9,351,1,-,-,1,191.0
Jay Ajayi,TB,16,-,-,-,1229,6,223,-,-,-,2,188.0
Lamar Miller,JAX,16,-,-,-,1101,7,252,1,-,-,1,181.0
DeMarco Murray,OAK,16,-,-,-,998,7,323,1,-,-,1,180.0
Todd Gurley,IND,16,-,-,-,1010,6,322,1,-,-,1,176.0
Marshawn Lynch,@TEN,16,-,-,-,1013,8,222,1,-,-,1,176.0
Frank Gore,@LA,16,-,-,-,1052,6,245,1,-,-,1,172.0
C.J. Anderson,LAC,16,-,-,-,941,7,259,1,-,-,1,169.0
Jonathan Stewart,@SF,16,-,-,-,1055,7,155,-,-,-,1,169.0
Ty Montgomery,SEA,16,-,-,-,777,5,447,1,-,-,1,165.0
James White,KC,16,-,-,-,403,4,712,4,-,-,1,165.0
Spencer Ware,@NE,16,-,-,-,915,5,292,1,-,-,1,158.0
Jeremy Hill,BAL,16,-,-,-,916,7,188,-,-,-,1,157.0
Paul Perkins,@DAL,16,-,-,-,964,5,263,1,-,-,1,157.0
Carlos Hyde,CAR,16,-,-,-,933,5,225,1,-,-,2,154.0
Isaiah Crowell,PIT,16,-,-,-,872,5,271,-,-,-,1,152.0
Matt Forte,@BUF,16,-,-,-,862,5,277,1,-,-,1,152.0
LeGarrette Blount,@WAS,16,-,-,-,904,8,64,-,-,-,1,149.0
Charles Sims,@MIA,16,-,-,-,683,3,499,2,-,-,1,148.0
Latavius Murray,NO,16,-,-,-,801,6,236,-,-,-,1,146.0
Bilal Powell,@BUF,16,-,-,-,717,4,367,1,-,-,1,145.0
Leonard Fournette,@HOU,16,-,-,-,727,5,311,1,-,-,1,140.0
Terrance West,@CIN,16,-,-,-,752,5,284,1,-,-,1,140.0
Tevin Coleman,@CHI,16,-,-,-,612,4,332,2,-,-,1,138.0
Danny Woodhead,@CIN,16,-,-,-,466,3,522,3,-,-,-,134.0
Eddie Lacy,@GB,16,-,-,-,891,5,119,-,-,-,1,133.0
Giovani Bernard,BAL,16,-,-,-,523,3,359,1,-,-,1,115.0
Chris Ivory,@HOU,16,-,-,-,584,3,278,1,-,-,1,111.0
Ameer Abdullah,ARI,16,-,-,-,611,3,221,1,-,-,1,109.0
Shane Vereen,@DAL,16,-,-,-,360,2,385,1,-,-,-,99.0
Jerick McKinnon,NO,16,-,-,-,430,3,303,1,-,-,-,98.0
Adrian Peterson,@MIN,16,-,-,-,624,3,130,-,-,-,1,98.0
Rex Burkhead,KC,16,-,-,-,548,4,149,-,-,-,-,97.0
Darren Sproles,@WAS,16,-,-,-,347,2,362,1,-,-,-,96.0
Derrick Henry,OAK,16,-,-,-,554,4,91,-,-,-,-,95.0
Duke Johnson,PIT,16,-,-,-,342,2,394,1,-,-,-,94.0
Darren McFadden,NYG,16,-,-,-,578,2,169,-,-,-,1,94.0
Theo Riddick,ARI,16,-,-,-,304,1,417,2,-,-,-,94.0
Devontae Booker,LAC,16,-,-,-,431,2,213,-,-,-,-,86.0
Tim Hightower,CAR,16,-,-,-,430,3,138,-,-,-,-,83.0
Dion Lewis,KC,16,-,-,-,392,2,216,1,-,-,-,83.0
Jamaal Charles,LAC,16,-,-,-,400,3,165,-,-,-,-,79.0
Chris Thompson,PHI,16,-,-,-,253,2,299,1,-,-,-,75.0
Robert Turbin,@LA,16,-,-,-,252,3,225,1,-,-,-,73.0
DeAndre Washington,@TEN,16,-,-,-,442,2,103,-,-,-,-,73.0
Jalen Richard,@TEN,16,-,-,-,349,1,176,-,-,-,-,67.0
Matt Asiata,ARI,16,-,-,-,286,2,168,-,-,-,-,66.0
C.J. Prosise,@GB,16,-,-,-,230,1,254,1,-,-,-,64.0
Charcandrick West,@NE,16,-,-,-,270,1,183,1,-,-,-,63.0
Jacquizz Rodgers,@MIA,16,-,-,-,362,2,84,-,-,-,-,59.0
Jeremy Langford,ATL,16,-,-,-,269,2,168,-,-,-,-,58.0
Thomas Rawls,@GB,16,-,-,-,348,2,57,-,-,-,-,57.0
Christian McCaffrey,@SF,16,-,-,-,285,2,116,-,-,-,-,54.0
Alvin Kamara,@MIN,16,-,-,-,267,1,120,-,-,-,-,53.0
Andre Williams,@DEN,16,-,-,-,362,2,33,-,-,-,-,52.0
Jamaal Williams,SEA,16,-,-,-,275,1,99,-,-,-,-,51.0
Alfred Blue,JAX,16,-,-,-,297,1,79,-,-,-,-,50.0
D'Onta Foreman,JAX,16,-,-,-,255,1,118,-,-,-,-,50.0
Aaron Jones,SEA,16,-,-,-,271,1,96,-,-,-,-,50.0
Damien Williams,TB,16,-,-,-,129,1,240,1,-,-,-,50.0
Wayne Gallman,@DAL,16,-,-,-,275,1,88,-,-,-,-,49.0
Dalvin Cook,NO,16,-,-,-,252,1,98,-,-,-,-,48.0
Brian Hill,@CHI,16,-,-,-,253,1,98,-,-,-,-,48.0
Joe Mixon,BAL,16,-,-,-,251,1,104,-,-,-,-,48.0
James Conner,@CLE,16,-,-,-,246,1,100,-,-,-,-,47.0
T.J. Logan,@DET,16,-,-,-,243,1,103,-,-,-,-,47.0
Kareem Hunt,@NE,16,-,-,-,245,1,95,-,-,-,-,46.0
Aaron Ripkowski,SEA,16,-,-,-,209,2,91,-,-,-,-,46.0
Elijah McGuire,@BUF,16,-,-,-,249,1,80,-,-,-,-,45.0
Kerwynn Williams,@DET,16,-,-,-,266,2,38,-,-,-,-,45.0
T.J. Yeldon,@HOU,16,-,-,-,205,-,169,-,-,-,-,45.0
Jeremy McNichols,@MIA,14,-,-,-,233,1,96,-,-,-,-,44.0
Samaje Perine,PHI,16,-,-,-,237,1,86,-,-,-,-,44.0
Fozzy Whittaker,@SF,16,-,-,-,208,1,117,-,-,-,-,42.0
