Player,Opp,GP,Yds,TD,Int,Yds.1,TD.1,REC YDS,REC TDS,FumTD,2PT,FL,Points
Rob Gronkowski,KC,16,-,-,-,3,-,999,8,-,-,-,148.0
Jordan Reed,PHI,16,-,-,-,2,-,904,7,-,-,-,132.0
Kyle Rudolph,NO,16,-,-,-,3,-,936,6,-,-,-,129.0
Zach Ertz,@WAS,16,-,-,-,2,-,908,6,-,-,-,127.0
Travis Kelce,@NE,16,-,-,-,1,-,978,5,-,-,-,127.0
Greg Olsen,@SF,16,-,-,-,-,-,886,4,-,-,-,112.0
Jared Cook,@TEN,16,-,-,-,-,-,816,4,-,-,-,105.0
Tyler Eifert,BAL,16,-,-,-,2,-,691,6,-,-,-,105.0
Jimmy Graham,@GB,16,-,-,-,-,-,736,5,-,-,-,103.0
Cameron Brate,@MIA,16,-,-,-,2,-,719,5,-,-,-,102.0
Delanie Walker,OAK,16,-,-,-,1,-,732,4,-,-,-,97.0
Antonio Gates,@DEN,16,-,-,-,-,-,633,4,-,-,-,87.0
Eric Ebron,ARI,16,-,-,-,8,-,679,3,-,-,-,86.0
C.J. Fiedorowicz,JAX,16,-,-,-,2,-,626,4,-,-,-,86.0
Zach Miller,ATL,16,-,-,-,-,-,623,4,-,-,-,86.0
Jason Witten,NYG,16,-,-,-,-,-,620,4,-,-,-,86.0
Charles Clay,NYJ,16,-,-,-,2,-,617,4,-,-,-,85.0
Martellus Bennett,SEA,16,-,-,-,2,-,546,3,-,-,-,72.0
Jack Doyle,@LA,16,-,-,-,1,-,539,3,-,-,-,72.0
Jesse James,@CLE,16,-,-,-,10,-,504,3,-,-,-,69.0
Vance McDonald,@CLE,16,-,-,-,1,-,512,3,-,-,-,69.0
Julius Thomas,TB,16,-,-,-,-,-,491,3,-,-,-,67.0
Coby Fleener,@MIN,16,-,-,-,-,-,484,3,-,-,-,66.0
Jermaine Gresham,@DET,16,-,-,-,-,-,462,2,-,-,-,58.0
Evan Engram,@DAL,16,-,-,-,6,-,434,2,-,-,-,56.0
David Njoku,PIT,16,-,-,-,12,-,433,2,-,-,-,56.0
Benjamin Watson,@CIN,16,-,-,-,-,-,401,2,-,-,-,52.0
Jordan Leggett,@BUF,16,-,-,-,8,-,385,2,-,-,-,51.0
Austin Hooper,@CHI,16,-,-,-,13,-,374,2,-,-,-,50.0
Temarrick Hemingway,IND,16,-,-,-,5,-,349,2,-,-,-,47.0
Hunter Henry,@DEN,16,-,-,-,11,-,281,2,-,-,-,41.0
Trey Burton,@WAS,16,-,-,-,3,-,329,1,-,-,-,39.0
Lance Kendricks,SEA,16,-,-,-,-,-,336,1,-,-,-,39.0
Ryan Griffin,JAX,16,-,-,-,1,-,322,1,-,-,-,38.0
Marcedes Lewis,@HOU,16,-,-,-,-,-,303,1,-,-,-,36.0
Jace Amaro,OAK,16,-,-,-,3,-,294,1,-,-,-,35.0
Will Tye,@DAL,16,-,-,-,2,-,284,1,-,-,-,34.0
Virgil Green,LAC,16,-,-,-,-,-,260,1,-,-,-,32.0
Clive Walford,@TEN,16,-,-,-,2,-,249,1,-,-,-,31.0
Austin Seferian-Jenkins,@BUF,16,-,-,-,3,-,228,1,-,-,-,29.0
Garrett Celek,CAR,16,-,-,-,-,-,227,1,-,-,-,28.0
Dwayne Allen,KC,16,-,-,-,5,-,200,1,-,-,-,26.0
Vernon Davis,PHI,16,-,-,-,-,-,206,1,-,-,-,26.0
Richard Rodgers,SEA,16,-,-,-,4,-,201,1,-,-,-,26.0
Dion Sims,ATL,16,-,-,-,3,-,202,1,-,-,-,26.0
Crockett Gillmore,@CIN,16,-,-,-,3,-,193,1,-,-,-,25.0
Brent Celek,@WAS,16,-,-,-,-,-,171,1,-,-,-,23.0
Josh Hill,@MIN,16,-,-,-,1,-,178,1,-,-,-,23.0
Seth DeValve,PIT,16,-,-,-,4,-,159,1,-,-,-,22.0
Demetrius Harris,@NE,16,-,-,-,2,-,167,1,-,-,-,22.0
Michael Hoomanawanui,@MIN,16,-,-,-,1,-,159,1,-,-,-,22.0
O.J. Howard,@MIA,16,-,-,-,5,-,155,1,-,-,-,22.0
Erik Swoope,@LA,16,-,-,-,2,-,164,1,-,-,-,22.0
Tyler Higbee,IND,16,-,-,-,4,-,154,1,-,-,-,21.0
Luke Willson,@GB,16,-,-,-,1,-,151,1,-,-,-,21.0
Gerald Everett,IND,16,-,-,-,5,-,144,-,-,-,-,14.0
Jonnu Smith,OAK,16,-,-,-,6,-,143,-,-,-,-,14.0
Jerell Adams,@DAL,16,-,-,-,4,-,129,-,-,-,-,13.0
Rico Gathers,NYG,16,-,-,-,5,-,127,-,-,-,-,13.0
Eric Saubert,@CHI,16,-,-,-,9,-,121,-,-,-,-,13.0
Ed Dickson,@SF,16,-,-,-,-,-,126,-,-,-,-,12.0
Bucky Hodges,NO,16,-,-,-,7,-,122,-,-,-,-,12.0
Michael Roberts,ARI,16,-,-,-,4,-,116,-,-,-,-,12.0
Adam Shaheen,ATL,16,-,-,-,4,-,118,-,-,-,-,12.0
Neal Sterling,@HOU,15,-,-,-,2,-,125,-,-,-,-,12.0
Rhett Ellison,@DAL,16,-,-,-,-,-,110,-,-,-,-,11.0
Darren Fells,ARI,16,-,-,-,-,-,115,-,-,-,-,11.0
