"Rank","Team DST","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Denver Broncos","5","1","8","1.6","1.4","1.0","0.0"
"2","Seattle Seahawks","6","1","10","3.0","1.9","3.0","+1.0"
"3","Houston Texans","7","1","9","3.2","1.9","4.0","+1.0"
"4","Kansas City Chiefs","10","1","17","4.5","2.8","2.0","-2.0"
"5","Minnesota Vikings","9","3","13","6.4","1.9","5.0","0.0"
"6","New England Patriots","9","2","20","7.2","3.0","7.0","+1.0"
"7","Arizona Cardinals","8","2","18","7.2","4.1","6.0","-1.0"
"8","New York Giants","8","4","16","8.5","2.4","8.0","0.0"
"9","Carolina Panthers","11","4","16","9.4","3.0","9.0","0.0"
"10","Jacksonville Jaguars","8","5","22","12.0","3.8","14.0","+4.0"
"11","Pittsburgh Steelers","9","2","22","12.7","4.4","10.0","-1.0"
"12","Los Angeles Rams","8","4","28","12.8","4.1","12.0","0.0"
"13","Philadelphia Eagles","10","6","20","12.9","3.2","13.0","0.0"
"14","Baltimore Ravens","10","6","23","13.6","3.8","11.0","-3.0"
"15","Los Angeles Chargers","9","8","26","15.2","4.1","17.0","+2.0"
"16","Cincinnati Bengals","6","5","27","15.9","4.7","19.0","+3.0"
"17","Green Bay Packers","8","10","27","17.9","3.6","18.0","+1.0"
"18","Oakland Raiders","10","12","30","18.3","3.6","21.0","+3.0"
"19","Tampa Bay Buccaneers","11","8","26","17.7","4.1","16.0","-3.0"
"20","Atlanta Falcons","5","4","30","17.3","4.8","15.0","-5.0"
"21","Buffalo Bills","6","5","31","20.9","5.2","22.0","+1.0"
"22","Tennessee Titans","8","8","28","19.8","4.4","20.0","-2.0"
"23","Miami Dolphins","11","10","25","20.2","3.7","24.0","+1.0"
"24","Detroit Lions","7","18","31","24.7","3.0","",""
"25","Dallas Cowboys","6","10","31","24.8","3.9","23.0","-2.0"
"26","Washington Redskins","5","17","30","25.1","3.2","26.0","0.0"
"27","New York Jets","11","11","32","26.2","4.6","25.0","-2.0"
"28","Chicago Bears","9","17","31","26.5","3.1","",""
"29","Indianapolis Colts","11","6","32","27.1","5.0","",""
"30","Cleveland Browns","9","20","32","29.1","3.5","",""
"31","New Orleans Saints","5","18","32","29.1","2.9","",""
"32","San Francisco 49ers","11","23","32","29.9","2.6","27.0","-5.0"
""
""
