"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Stephen Gostkowski","NE","9","1","4","2.0","0.8","1.0","0.0"
"2","Justin Tucker","BAL","10","1","9","1.6","1.5","2.0","0.0"
"3","Matt Bryant","ATL","5","1","19","3.6","3.0","3.0","0.0"
"4","Dan Bailey","DAL","6","3","9","4.4","1.4","4.0","0.0"
"5","Mason Crosby","GB","8","3","13","5.8","2.1","5.0","0.0"
"6","Adam Vinatieri","IND","11","2","15","7.3","3.2","6.0","0.0"
"7","Matt Prater","DET","7","5","16","8.9","2.7","9.0","+2.0"
"8","Cairo Santos","KC","10","6","16","9.4","2.3","11.0","+3.0"
"9","Will Lutz","NO","5","4","17","9.7","3.8","7.0","-2.0"
"10","Sebastian Janikowski","OAK","10","5","16","11.1","2.4","8.0","-2.0"
"11","Dustin Hopkins","WAS","5","4","21","12.0","4.3","13.0","+2.0"
"12","Graham Gano","CAR","11","7","24","13.6","4.3","10.0","-2.0"
"13","Chris Boswell","PIT","9","5","21","13.7","3.8","12.0","-1.0"
"14","Brandon McManus","DEN","5","8","25","13.8","4.1","16.0","+2.0"
"15","Caleb Sturgis","PHI","10","3","19","13.7","4.5","17.0","+2.0"
"16","Steven Hauschka","BUF","6","2","29","15.4","6.6","14.0","-2.0"
"17","Blair Walsh","SEA","6","1","24","15.8","4.8","15.0","-2.0"
"18","Josh Lambo","LAC","9","2","21","16.2","3.6","20.0","+2.0"
"19","Nick Novak","HOU","7","5","24","16.3","5.0","21.0","+2.0"
"20","Phil Dawson","ARI","8","4","30","17.7","5.0","22.0","+2.0"
"21","Chandler Catanzaro","NYJ","11","5","33","23.7","7.3","18.0","-3.0"
"22","Ryan Succop","TEN","8","10","29","21.0","4.3","23.0","+1.0"
"23","Nick Folk","TB","11","6","26","21.0","4.7","29.0","+6.0"
"24","Kai Forbath","MIN","9","10","31","23.7","5.1","25.0","+1.0"
"25","Mike Nugent","NYG","8","12","36","24.9","7.2","",""
"26","Aldrick Rosas","NYG","8","13","34","25.7","4.9","26.0","0.0"
"27","Randy Bullock","CIN","6","14","35","26.6","6.7","",""
"28","Josh Brown","FA","","14","30","22.0","8.0","",""
"29","Jason Myers","JAC","8","17","29","23.7","3.1","",""
"30","Dan Carpenter","FA","","15","31","23.0","8.0","",""
"31","Harrison Butker","CAR","11","16","33","25.7","7.1","19.0","-12.0"
"32","Jake Elliott","CIN","6","19","34","24.6","4.1","24.0","-8.0"
"33","Robbie Gould","SF","11","17","32","27.5","3.4","30.0","-3.0"
"34","Andrew Franks","MIA","11","18","36","25.7","3.9","",""
"35","Greg Zuerlein","LAR","8","18","37","28.5","4.1","32.0","-3.0"
"36","Roberto Aguayo","CHI","9","20","36","30.3","4.7","28.0","-8.0"
"37","Connor Barth","CHI","9","24","33","29.5","2.6","31.0","-6.0"
"38","Cody Parkey","CLE","9","27","36","31.2","2.2","",""
"39","Zane Gonzalez","CLE","9","25","38","31.7","3.2","27.0","-12.0"
""
""
