"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","8","1","2","1.2","0.4","1.0","0.0"
"2","Le'Veon Bell","PIT","9","1","3","1.8","0.4","2.0","0.0"
"3","LeSean McCoy","BUF","6","2","7","3.6","1.0","3.0","0.0"
"4","Melvin Gordon","LAC","9","3","10","4.5","1.3","5.0","+1.0"
"5","Devonta Freeman","ATL","5","3","9","5.2","1.4","4.0","-1.0"
"6","Jay Ajayi","MIA","11","3","14","6.5","1.9","7.0","+1.0"
"7","Jordan Howard","CHI","9","4","13","7.2","1.7","8.0","+1.0"
"8","DeMarco Murray","TEN","8","3","15","7.5","1.8","6.0","-2.0"
"9","Todd Gurley","LAR","8","4","18","9.6","2.3","10.0","+1.0"
"10","Leonard Fournette","JAC","8","5","25","12.0","3.3","11.0","+1.0"
"11","Isaiah Crowell","CLE","9","6","22","12.8","2.7","15.0","+4.0"
"12","Ezekiel Elliott","DAL","6","3","36","12.9","4.8","9.0","-3.0"
"13","Lamar Miller","HOU","7","5","23","13.7","3.5","14.0","+1.0"
"14","Carlos Hyde","SF","11","9","33","15.9","3.5","17.0","+3.0"
"15","Dalvin Cook","MIN","9","8","44","15.9","5.3","16.0","+1.0"
"16","Marshawn Lynch","OAK","10","7","35","16.3","4.4","12.0","-4.0"
"17","Kareem Hunt","KC","10","8","46","18.3","7.3","28.0","+11.0"
"18","Ty Montgomery","GB","8","9","52","18.7","5.7","19.0","+1.0"
"19","Christian McCaffrey","CAR","11","11","38","19.5","5.3","13.0","-6.0"
"20","Joe Mixon","CIN","6","9","48","20.0","5.7","18.0","-2.0"
"21","Mark Ingram","NO","5","10","35","21.1","4.0","20.0","-1.0"
"22","C.J. Anderson","DEN","5","10","42","21.6","4.9","21.0","-1.0"
"23","Ameer Abdullah","DET","7","15","43","24.5","4.8","22.0","-1.0"
"24","Bilal Powell","NYJ","11","14","43","24.9","5.0","25.0","+1.0"
"25","Mike Gillislee","NE","9","15","41","26.1","5.0","24.0","-1.0"
"26","Tevin Coleman","ATL","5","15","40","26.8","4.7","23.0","-3.0"
"27","Frank Gore","IND","11","13","44","27.3","5.0","32.0","+5.0"
"28","Doug Martin","TB","11","18","58","30.1","6.6","26.0","-2.0"
"29","Adrian Peterson","NO","5","17","53","30.4","5.8","27.0","-2.0"
"30","Paul Perkins","NYG","8","18","66","32.0","6.4","31.0","+1.0"
"31","Danny Woodhead","BAL","10","16","61","32.2","7.0","33.0","+2.0"
"32","Terrance West","BAL","10","11","68","32.3","7.3","36.0","+4.0"
"33","Robert Kelley","WAS","5","12","50","33.0","6.8","34.0","+1.0"
"34","LeGarrette Blount","PHI","10","17","53","33.8","6.2","29.0","-5.0"
"35","Jonathan Stewart","CAR","11","15","50","35.2","5.9","38.0","+3.0"
"36","Derrick Henry","TEN","8","24","65","35.7","6.4","30.0","-6.0"
"37","Eddie Lacy","SEA","6","18","53","36.0","8.7","35.0","-2.0"
"38","Theo Riddick","DET","7","24","57","40.3","5.5","40.0","+2.0"
"39","Matt Forte","NYJ","11","12","57","40.6","7.2","45.0","+6.0"
"40","Darren McFadden","DAL","6","21","84","44.0","14.0","37.0","-3.0"
"41","Thomas Rawls","SEA","6","26","62","42.2","7.2","39.0","-2.0"
"42","Duke Johnson","CLE","9","30","66","42.1","5.9","43.0","+1.0"
"43","Samaje Perine","WAS","5","18","81","46.0","9.1","41.0","-2.0"
"44","Darren Sproles","PHI","10","28","76","46.7","9.0","51.0","+7.0"
"45","Jeremy Hill","CIN","6","20","77","46.0","8.0","48.0","+3.0"
"46","James White","NE","9","31","83","46.5","7.8","46.0","0.0"
"47","Jacquizz Rodgers","TB","11","31","66","47.0","7.6","42.0","-5.0"
"48","C.J. Prosise","SEA","6","32","75","47.3","7.5","50.0","+2.0"
"49","Rex Burkhead","NE","9","25","91","49.7","10.9","52.0","+3.0"
"50","Jamaal Williams","GB","8","25","83","49.2","9.9","44.0","-6.0"
"51","Latavius Murray","MIN","9","24","75","50.1","9.0","47.0","-4.0"
"52","Giovani Bernard","CIN","6","32","65","51.1","6.8","58.0","+6.0"
"53","Jamaal Charles","DEN","5","33","80","53.3","8.4","49.0","-4.0"
