"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Rob Gronkowski","NE","9","1","11","1.3","1.4","1.0","0.0"
"2","Travis Kelce","KC","10","1","5","2.0","0.6","2.0","0.0"
"3","Greg Olsen","CAR","11","2","7","3.5","1.1","3.0","0.0"
"4","Jordan Reed","WAS","5","3","11","4.4","1.5","4.0","0.0"
"5","Jimmy Graham","SEA","6","2","10","4.8","1.4","5.0","0.0"
"6","Tyler Eifert","CIN","6","3","12","6.7","1.7","6.0","0.0"
"7","Kyle Rudolph","MIN","9","3","13","7.4","1.7","7.0","0.0"
"8","Delanie Walker","TEN","8","1","13","8.4","2.0","9.0","+1.0"
"9","Zach Ertz","PHI","10","4","13","9.0","2.0","10.0","+1.0"
"10","Martellus Bennett","GB","8","5","15","9.6","2.0","8.0","-2.0"
"11","Hunter Henry","LAC","9","5","18","11.1","2.2","11.0","0.0"
"12","Eric Ebron","DET","7","6","20","11.9","2.4","13.0","+1.0"
"13","Jack Doyle","IND","11","7","31","13.9","3.5","12.0","-1.0"
"14","Coby Fleener","NO","5","9","25","15.6","3.1","16.0","+2.0"
"15","Austin Hooper","ATL","5","6","25","16.2","3.1","18.0","+3.0"
"16","Jason Witten","DAL","6","8","26","16.7","3.2","15.0","-1.0"
"17","Cameron Brate","TB","11","10","37","17.3","4.0","21.0","+4.0"
"18","Julius Thomas","MIA","11","13","88","20.1","9.2","20.0","+2.0"
"19","C.J. Fiedorowicz","HOU","7","10","31","19.6","4.3","27.0","+8.0"
"20","Antonio Gates","LAC","9","12","27","19.3","3.1","19.0","-1.0"
"21","O.J. Howard","TB","11","11","40","24.1","5.3","14.0","-7.0"
"22","Jared Cook","OAK","10","12","33","22.9","4.3","17.0","-5.0"
"23","Evan Engram","NYG","8","13","35","23.3","4.3","22.0","-1.0"
"24","Zach Miller","CHI","9","15","38","27.3","5.5","32.0","+8.0"
"25","Austin Seferian-Jenkins","NYJ","11","11","42","27.0","6.2","28.0","+3.0"
"26","Dwayne Allen","NE","9","15","41","26.1","5.2","26.0","0.0"
"27","Charles Clay","BUF","6","16","32","24.4","3.7","29.0","+2.0"
"28","David Njoku","CLE","9","16","36","25.3","4.0","25.0","-3.0"
"29","Jesse James","PIT","9","12","38","26.5","4.4","23.0","-6.0"
"30","Tyler Higbee","LAR","8","16","52","31.4","5.9","31.0","+1.0"
"31","Benjamin Watson","BAL","10","20","57","31.3","7.0","",""
"32","Jermaine Gresham","ARI","8","19","46","32.5","5.1","",""
"33","Mychal Rivera","JAC","8","20","55","43.9","9.9","",""
"34","Vance McDonald","SF","11","22","45","31.9","5.2","24.0","-10.0"
"35","Vernon Davis","WAS","5","25","40","32.4","3.4","34.0","-1.0"
"36","Erik Swoope","IND","11","24","49","32.4","5.4","33.0","-3.0"
"37","Gerald Everett","LAR","8","26","62","37.8","7.9","",""
"38","A.J. Derby","DEN","5","26","60","38.0","8.6","",""
"39","Ryan Griffin","HOU","7","30","53","38.8","5.5","",""
"40","Ladarius Green","FA","","26","59","39.3","7.9","30.0","-10.0"
"41","Dion Sims","CHI","9","22","66","39.4","10.4","",""
"42","Gary Barnidge","FA","","21","64","40.3","11.6","",""
"43","Maxx Williams","BAL","10","23","81","41.4","10.9","40.0","-3.0"
"44","Trey Burton","PHI","10","30","50","41.5","5.6","",""
"45","George Kittle","SF","11","32","90","41.6","11.2","35.0","-10.0"
"46","Seth DeValve","CLE","9","30","68","41.9","8.9","",""
"47","Xavier Grimble","PIT","9","31","57","42.2","5.7","",""
"48","Marcedes Lewis","JAC","8","31","54","42.5","5.8","",""
"49","Adam Shaheen","CHI","9","27","94","43.3","13.3","39.0","-10.0"
"50","Virgil Green","DEN","5","34","55","43.4","5.5","",""
"51","Josh Hill","NO","5","33","55","43.8","5.5","",""
"52","Nick Boyle","BAL","10","29","57","44.0","9.9","",""
"53","Clive Walford","OAK","10","31","56","44.1","6.9","",""
"54","Lance Kendricks","GB","8","24","68","44.4","9.9","",""
"55","Will Tye","NYG","8","21","67","45.2","10.7","",""
"56","Rico Gathers","DAL","6","31","71","46.1","12.7","",""
"57","Jordan Leggett","NYJ","11","29","62","47.0","9.8","",""
"58","Luke Willson","SEA","6","31","70","49.3","9.3","",""
"59","Jonnu Smith","TEN","8","33","61","50.9","8.4","",""
"60","Garrett Celek","SF","11","37","70","52.5","8.7","",""
"61","Levine Toilolo","ATL","5","44","72","53.1","7.9","",""
"62","Larry Donnell","BAL","10","32","92","53.3","18.7","",""
"63","Demetrius Harris","KC","10","38","64","53.4","7.4","",""
"64","Richard Rodgers","GB","8","28","91","55.0","14.5","",""
"65","Stephen Anderson","HOU","7","41","70","57.9","10.2","",""
"66","Jake Butt","DEN","5","39","92","58.2","16.0","38.0","-28.0"
"67","Anthony Fasano","MIA","11","46","69","58.8","6.7","",""
"68","Nick O'Leary","BUF","6","53","71","61.5","5.5","",""
"69","Brent Celek","PHI","10","45","71","61.9","9.1","",""
"70","Niles Paul","WAS","5","32","84","63.3","17.1","",""
"71","Bucky Hodges","MIN","9","37","88","63.4","15.4","",""
"72","Ed Dickson","CAR","11","55","73","64.1","6.6","",""
"73","Darren Fells","DET","7","49","76","64.6","7.1","",""
"74","Troy Niklas","ARI","8","50","75","64.8","8.2","",""
"75","Rhett Ellison","NYG","8","50","88","65.0","15.3","",""
"76","Tyler Kroft","CIN","6","39","82","66.2","12.5","",""
"77","Jeff Heuerman","DEN","5","47","82","66.4","11.5","",""
"78","Michael Roberts","DET","7","45","89","66.8","16.9","",""
"79","C.J. Uzomah","CIN","6","40","77","67.2","10.8","",""
"80","Ross Travis","KC","10","63","72","67.5","4.5","",""
"81","Daniel Brown","CHI","9","52","84","67.7","11.7","",""
"82","Jerell Adams","NYG","8","41","87","69.0","13.3","",""
"83","David Johnson","PIT","9","58","78","70.8","7.6","",""
"84","Jace Amaro","TEN","8","40","90","71.8","16.2","",""
"85","MyCole Pruitt","CHI","9","51","95","73.0","22.0","",""
"86","Randall Telfer","CLE","9","57","80","73.0","8.3","",""
"87","Geoff Swaim","DAL","6","53","94","73.2","13.5","",""
"88","Nick Vannett","SEA","6","57","98","74.7","12.9","",""
"89","Ben Koyack","JAC","8","59","90","75.5","9.3","",""
"90","Blake Bell","SF","11","54","103","76.9","18.2","",""
"91","Cole Wick","DET","7","71","85","78.5","5.7","",""
"92","David Morgan","MIN","9","70","88","78.8","6.2","",""
"93","Gavin Escobar","KC","10","53","104","79.2","16.2","",""
"94","Phillip Supernaw","TEN","8","74","84","80.3","3.9","",""
"95","MarQueis Gray","MIA","11","64","93","80.5","11.0","",""
"96","Lee Smith","OAK","10","74","92","81.8","7.6","",""
"97","Ifeanyi Momah","ARI","8","79","85","82.0","3.0","",""
"98","Jacob Hollister","NE","9","80","85","82.5","2.5","37.0","-61.0"
"99","Temarrick Hemingway","LAR","8","73","100","82.6","9.2","",""
"100","Eric Saubert","ATL","5","75","97","83.6","7.8","",""
"101","James O'Shaughnessy","NE","9","73","96","84.3","8.2","",""
"102","Michael Hoomanawanui","NO","5","78","93","85.0","6.2","",""
"103","Ryan Hewitt","CIN","6","77","97","87.0","10.0","",""
"104","James Hanna","DAL","6","76","99","88.0","9.2","",""
"105","Luke Stocker","TB","11","90","97","93.3","2.9","",""
"106","Jeff Cumberland","LAC","9","87","100","93.5","6.5","",""
"107","Logan Paulsen","SF","11","94","96","95.0","1.0","",""
"108","Chris Gragg","NYJ","11","86","106","96.0","10.0","",""
""
""
