"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Antonio Brown","PIT","9","1","3","1.1","0.3","1.0","0.0"
"2","Julio Jones","ATL","5","1","6","2.5","1.0","2.0","0.0"
"3","Odell Beckham Jr.","NYG","8","1","7","3.0","1.0","3.0","0.0"
"4","Mike Evans","TB","11","1","8","4.6","1.2","4.0","0.0"
"5","A.J. Green","CIN","6","1","14","4.7","1.5","5.0","0.0"
"6","Jordy Nelson","GB","8","2","10","5.5","1.3","6.0","0.0"
"7","Michael Thomas","NO","5","4","11","7.3","1.2","7.0","0.0"
"8","Dez Bryant","DAL","6","5","16","8.9","1.9","8.0","0.0"
"9","Amari Cooper","OAK","10","7","28","10.8","2.7","9.0","0.0"
"10","T.Y. Hilton","IND","11","6","21","10.9","2.6","10.0","0.0"
"11","Doug Baldwin","SEA","6","7","29","10.9","2.7","12.0","+1.0"
"12","Brandin Cooks","NE","9","7","37","11.2","3.9","11.0","-1.0"
"13","DeAndre Hopkins","HOU","7","8","22","14.2","2.7","13.0","0.0"
"14","Demaryius Thomas","DEN","5","10","29","14.9","3.1","15.0","+1.0"
"15","Terrelle Pryor","WAS","5","8","35","16.7","4.2","14.0","-1.0"
"16","Alshon Jeffery","PHI","10","11","32","17.4","3.9","16.0","0.0"
"17","Allen Robinson","JAC","8","9","32","18.4","4.7","20.0","+3.0"
"18","Keenan Allen","LAC","9","9","40","19.0","4.9","18.0","0.0"
"19","Davante Adams","GB","8","9","36","19.5","4.8","17.0","-2.0"
"20","Michael Crabtree","OAK","10","14","35","19.9","3.5","21.0","+1.0"
"21","Sammy Watkins","LAR","8","11","54","24.0","6.4","25.0","+4.0"
"22","Tyreek Hill","KC","10","5","54","24.3","6.2","19.0","-3.0"
"23","Martavis Bryant","PIT","9","12","47","24.4","6.4","24.0","+1.0"
"24","Golden Tate","DET","7","13","44","24.5","5.4","26.0","+2.0"
"25","Larry Fitzgerald","ARI","8","6","41","24.8","5.3","27.0","+2.0"
"26","Emmanuel Sanders","DEN","5","17","46","25.9","4.8","29.0","+3.0"
"27","Kelvin Benjamin","CAR","11","12","45","27.0","5.7","23.0","-4.0"
"28","Jarvis Landry","MIA","11","11","41","28.3","5.7","22.0","-6.0"
"29","Stefon Diggs","MIN","9","13","42","28.5","5.7","28.0","-1.0"
"30","Jamison Crowder","WAS","5","16","56","29.4","5.7","31.0","+1.0"
"31","Willie Snead","NO","5","13","47","31.3","5.1","32.0","+1.0"
"32","Brandon Marshall","NYG","8","18","47","32.8","6.4","30.0","-2.0"
"33","Pierre Garcon","SF","11","20","61","34.0","6.1","36.0","+3.0"
"34","DeSean Jackson","TB","11","16","55","34.1","5.6","33.0","-1.0"
"35","Devante Parker","MIA","11","21","49","34.3","6.0","34.0","-1.0"
"36","Donte Moncrief","IND","11","18","55","36.1","6.4","38.0","+2.0"
"37","Tyrell Williams","LAC","9","21","54","37.1","6.8","41.0","+4.0"
"38","Jeremy Maclin","BAL","10","23","54","37.6","6.5","39.0","+1.0"
"39","Eric Decker","TEN","8","19","56","38.7","6.0","37.0","-2.0"
"40","Kenny Britt","CLE","9","26","76","41.3","6.5","43.0","+3.0"
"41","Randall Cobb","GB","8","26","61","43.4","5.8","35.0","-6.0"
"42","Mike Wallace","BAL","10","30","72","43.9","6.4","46.0","+4.0"
"43","Jordan Matthews","BUF","6","30","62","44.6","6.3","49.0","+6.0"
"44","Adam Thielen","MIN","9","34","60","44.8","5.2","45.0","+1.0"
"45","John Brown","ARI","8","27","98","46.6","8.7","44.0","-1.0"
"46","Corey Coleman","CLE","9","36","62","46.7","5.0","42.0","-4.0"
"47","Rishard Matthews","TEN","8","28","77","47.1","7.1","47.0","0.0"
"48","Marvin Jones","DET","7","32","79","48.3","6.1","48.0","0.0"
"49","Corey Davis","TEN","8","19","91","49.4","10.0","40.0","-9.0"
"50","Chris Hogan","NE","9","30","106","54.8","16.6","52.0","+2.0"
"51","Ted Ginn","NO","5","39","85","52.1","7.9","51.0","0.0"
"52","Zay Jones","BUF","6","34","93","54.8","10.6","53.0","+1.0"
"53","Kevin White","CHI","9","31","84","55.2","9.5","62.0","+9.0"
"54","Robby Anderson","NYJ","11","41","95","57.9","11.2","58.0","+4.0"
"55","Sterling Shepard","NYG","8","40","79","56.5","6.8","50.0","-5.0"
"56","Tyler Lockett","SEA","6","46","79","58.2","6.6","57.0","+1.0"
"57","Josh Doctson","WAS","5","43","88","59.5","8.4","65.0","+8.0"
"58","Kenny Stills","MIA","11","40","82","59.2","7.0","66.0","+8.0"
"59","Cole Beasley","DAL","6","30","91","62.4","10.0","54.0","-5.0"
"60","Kenny Golladay","DET","7","38","105","66.7","12.9","60.0","0.0"
"61","Breshad Perriman","BAL","10","47","85","63.2","8.1","69.0","+8.0"
"62","Cooper Kupp","LAR","8","39","120","69.0","14.6","59.0","-3.0"
"63","J.J. Nelson","ARI","8","39","91","63.3","8.4","64.0","+1.0"
"64","Robert Woods","LAR","8","42","103","68.7","13.3","79.0","+15.0"
